pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,refilling,cpuTemp,cpuFreq,storageUsed,time
74,62,37,41,18.38,0,30.4,700.0,1.65,00:00:06
74,62,37,41,18.38,0,30.94,700.0,1.65,00:00:15
74,62,37,41,18.31,0,30.4,700.0,1.65,00:00:23
75,62,37,41,18.31,0,31.48,1000.0,1.65,00:00:32
75,62,37,41,18.31,0,30.4,700.0,1.65,00:00:41
74,62,37,41,18.31,0,30.4,700.0,1.65,00:00:49
75,62,37,41,18.31,0,30.94,700.0,1.65,00:00:58
75,62,37,41,18.38,0,30.4,700.0,1.65,00:01:07
75,63,37,41,18.38,0,30.4,700.0,1.65,00:01:15
75,63,37,41,18.31,0,30.4,700.0,1.65,00:01:24
75,63,38,41,18.38,0,30.94,700.0,1.65,00:01:34
75,62,37,41,18.31,0,30.94,700.0,1.65,00:01:44
75,62,37,41,18.31,0,30.94,700.0,1.65,00:01:53
74,62,37,41,18.31,0,30.4,700.0,1.65,00:02:02
75,62,37,41,18.31,0,30.4,700.0,1.65,00:02:10
74,62,37,41,18.31,0,30.4,700.0,1.65,00:02:19
75,63,37,41,18.31,0,30.4,700.0,1.65,00:02:27
75,62,38,41,18.38,0,30.4,700.0,1.65,00:02:36
75,62,37,41,18.31,0,31.48,700.0,1.65,00:02:45
75,62,37,41,18.31,0,30.94,700.0,1.65,00:02:53
74,62,37,41,18.31,0,30.94,700.0,1.65,00:03:04
75,62,37,41,18.31,0,30.4,700.0,1.65,00:03:12
75,62,38,41,18.31,0,30.4,700.0,1.65,00:03:21
75,62,37,41,18.31,0,30.94,700.0,1.65,00:03:30
75,62,37,41,18.31,0,30.4,700.0,1.65,00:03:38
74,62,37,41,18.31,0,31.48,700.0,1.65,00:03:47
75,62,37,41,18.31,0,30.4,700.0,1.65,00:03:56
75,62,37,41,18.31,0,30.4,700.0,1.65,00:04:04
74,62,37,41,18.31,0,30.94,700.0,1.65,00:04:13
75,62,37,41,18.31,0,30.94,700.0,1.65,00:04:21
75,62,37,41,18.31,0,30.94,700.0,1.65,00:04:30
75,63,37,41,18.31,0,30.94,700.0,1.65,00:04:39
75,62,38,41,18.31,0,30.4,700.0,1.65,00:04:47
75,62,38,41,18.31,0,30.4,700.0,1.65,00:04:56
75,62,38,41,18.31,0,30.4,700.0,1.65,00:05:05
75,62,37,41,18.31,0,30.4,700.0,1.65,00:05:13
74,62,37,41,18.31,0,30.94,700.0,1.65,00:05:22
75,62,37,41,18.31,0,31.48,700.0,1.65,00:05:31
75,62,37,41,18.31,0,30.94,700.0,1.65,00:05:39
74,62,37,41,18.31,0,30.4,700.0,1.65,00:05:48
75,62,37,41,18.31,0,31.48,700.0,1.65,00:06:00
74,62,37,41,18.31,0,31.48,700.0,1.65,00:06:09
75,62,38,41,18.31,0,30.94,700.0,1.65,00:06:17
74,62,37,41,18.31,0,30.4,700.0,1.65,00:06:26
74,62,37,41,18.31,0,30.4,700.0,1.65,00:06:35
74,62,38,41,18.31,0,30.4,700.0,1.65,00:06:43
74,62,37,41,18.31,0,30.94,700.0,1.65,00:06:52
74,62,37,41,18.31,0,30.94,700.0,1.65,00:07:00
74,62,37,41,18.31,0,30.4,700.0,1.65,00:07:09
75,62,37,41,18.31,0,30.4,700.0,1.65,00:07:18
75,62,37,41,18.31,0,30.4,700.0,1.65,00:07:26
75,62,37,41,18.31,0,30.4,700.0,1.65,00:07:35
75,62,38,41,18.31,0,30.4,700.0,1.65,00:07:44
75,62,37,41,18.31,0,30.4,700.0,1.65,00:07:54
75,62,38,41,18.31,0,30.4,700.0,1.65,00:08:03
74,62,37,41,18.31,0,30.94,700.0,1.65,00:08:11
75,62,37,41,18.31,0,30.4,700.0,1.65,00:08:20
74,62,37,41,18.31,0,30.4,700.0,1.65,00:08:29
75,62,37,41,18.31,0,29.86,700.0,1.65,00:08:37
75,62,37,41,18.31,0,30.4,700.0,1.65,00:08:46
75,62,37,41,18.31,0,30.4,700.0,1.65,00:08:55
74,62,37,41,18.31,0,30.94,700.0,1.65,00:09:05
74,62,37,41,18.31,0,30.94,700.0,1.65,00:09:16
75,62,37,41,18.31,0,30.4,700.0,1.65,00:09:26
75,62,37,41,18.31,0,30.4,700.0,1.65,00:09:36
75,62,37,41,18.31,0,30.4,700.0,1.65,00:09:45
74,62,37,41,18.31,0,30.4,700.0,1.65,00:09:53
