pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,refilling,cpuTemp,cpuFreq,storageUsed,time
73,64,43,43,0,0,34.7,700.0,1.65,00:00:03
72,64,43,43,0,0,35.78,1000.0,1.65,00:00:10
73,64,43,43,0,0,34.17,700.0,1.65,00:00:17
72,64,43,43,0,0,34.7,800.0,1.65,00:00:24
73,64,44,43,0,0,34.7,700.0,1.65,00:00:31
72,64,44,43,0,0,34.17,700.0,1.65,00:00:38
72,64,44,43,0,0,33.63,700.0,1.65,00:00:45
72,64,43,43,0,0,34.17,700.0,1.65,00:00:55
72,64,43,43,0,0,34.17,800.0,1.65,00:01:02
72,64,43,43,0,0,34.17,700.0,1.65,00:01:11
73,64,43,43,0,0,33.63,700.0,1.65,00:01:17
72,64,44,43,0,0,34.7,800.0,1.65,00:01:24
73,64,44,43,0,0,34.17,700.0,1.65,00:01:33
72,64,43,43,0,0,34.17,700.0,1.65,00:01:40
72,64,43,43,0,0,33.63,700.0,1.65,00:01:47
72,64,43,44,0,0,34.17,700.0,1.65,00:01:53
73,64,44,43,0,0,34.17,700.0,1.65,00:02:00
73,64,43,43,0,0,34.17,700.0,1.65,00:02:07
73,65,43,43,0,0,34.17,700.0,1.65,00:02:14
72,65,43,43,0,0,33.63,700.0,1.65,00:02:21
73,65,43,43,0,0,34.7,800.0,1.65,00:02:30
73,64,43,43,0,0,34.17,700.0,1.65,00:02:38
73,64,43,43,0,0,34.17,700.0,1.65,00:02:45
72,64,44,44,0,0,33.63,700.0,1.65,00:02:52
73,65,44,43,0,0,34.7,700.0,1.65,00:02:59
73,65,43,43,0,0,34.17,700.0,1.65,00:03:06
72,64,43,43,0,0,34.17,700.0,1.65,00:03:16
73,64,43,43,0,0,34.7,800.0,1.65,00:03:23
73,64,43,43,0,0,33.63,700.0,1.65,00:03:30
72,65,43,43,0,0,34.17,700.0,1.65,00:03:42
72,64,43,43,0,0,34.7,700.0,1.65,00:03:49
72,64,43,43,0,0,33.63,700.0,1.65,00:03:56
72,64,43,43,0,0,34.17,700.0,1.65,00:04:03
72,64,44,43,0,0,34.17,700.0,1.65,00:04:10
72,64,43,43,0,0,34.17,800.0,1.65,00:04:17
72,64,43,43,0,0,33.63,700.0,1.65,00:04:23
73,64,43,43,0,0,34.17,700.0,1.65,00:04:34
72,64,43,43,0,0,34.7,700.0,1.65,00:04:41
72,64,43,43,0,0,33.63,700.0,1.65,00:04:47
73,64,43,43,0,0,34.7,700.0,1.65,00:04:54
72,64,43,43,0,0,33.63,700.0,1.65,00:05:01
72,64,44,43,0,0,34.17,700.0,1.65,00:05:13
73,64,44,43,0,0,35.24,700.0,1.65,00:05:20
72,64,43,43,0,0,33.63,700.0,1.65,00:05:27
72,64,43,43,0,0,33.63,700.0,1.65,00:05:34
72,64,43,43,0,0,33.63,700.0,1.65,00:05:42
72,64,44,45,0,0,34.17,700.0,1.65,00:05:51
72,64,43,43,0,0,34.7,800.0,1.65,00:05:58
72,64,43,43,0,0,33.63,700.0,1.65,00:06:07
73,64,44,43,0,0,34.7,700.0,1.65,00:06:13
72,64,43,43,0,0,33.63,700.0,1.65,00:06:20
