pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,refilling,cpuTemp,cpuFreq,storageUsed,time
73,64,45,39,0,0,32.55,800.0,1.56,00:00:10
73,64,45,39,0,0,33.09,700.0,1.56,00:00:23
73,64,44,39,0,0,32.55,700.0,1.56,00:00:34
73,64,44,40,0,0,32.01,700.0,1.56,00:00:42
73,64,44,40,0,0,32.55,800.0,1.56,00:00:53
72,64,44,39,0,0,34.17,1000.0,1.56,00:01:02
73,64,45,39,0,0,33.09,1000.0,1.56,00:01:14
73,64,45,39,0,0,32.55,700.0,1.56,00:01:27
73,65,44,39,0,0,32.55,700.0,1.56,00:01:37
73,64,44,39,0,0,32.55,1000.0,1.56,00:01:46
73,64,44,39,0,0,32.55,700.0,1.56,00:01:55
73,64,44,40,0,0,32.01,700.0,1.56,00:02:05
73,64,45,39,0,0,32.55,700.0,1.56,00:02:16
73,64,44,39,0,0,32.55,800.0,1.56,00:02:25
73,64,45,39,0,0,31.48,700.0,1.56,00:02:35
73,65,44,39,0,0,32.01,700.0,1.56,00:02:47
73,65,44,39,0,0,32.55,700.0,1.56,00:02:59
72,65,44,39,0,0,32.01,700.0,1.56,00:03:08
73,65,44,39,0,0,32.01,800.0,1.56,00:03:17
72,65,45,39,0,0,32.01,700.0,1.56,00:03:27
73,65,45,39,0,0,32.01,700.0,1.56,00:03:39
73,65,45,39,0,0,31.48,700.0,1.56,00:03:49
73,65,44,40,0,0,32.55,700.0,1.56,00:04:00
73,65,44,40,0,0,32.55,800.0,1.56,00:04:09
73,65,44,40,0,0,32.55,700.0,1.56,00:04:21
73,65,44,40,0,0,32.55,700.0,1.56,00:04:33
73,65,45,39,0,0,32.55,700.0,1.56,00:04:44
73,65,45,40,0,0,32.55,700.0,1.56,00:04:54
72,65,45,40,0,0,32.55,700.0,1.56,00:05:07
73,65,45,39,0,0,32.55,800.0,1.56,00:05:15
73,65,44,39,0,0,31.48,700.0,1.56,00:05:24
73,65,44,40,0,0,32.55,700.0,1.56,00:05:36
73,65,45,39,0,0,32.55,700.0,1.56,00:05:47
72,65,45,39,0,0,32.55,800.0,1.56,00:05:56
