pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,refilling,cpuTemp,cpuFreq,storageUsed,time
71,62,39,40,18.25,0,30.94,700.0,1.68,00:00:00
71,62,38,40,18.25,0,31.48,700.0,1.68,00:00:09
71,62,39,40,18.25,0,31.48,700.0,1.68,00:00:19
71,62,38,39,18.25,0,31.48,700.0,1.68,00:00:28
72,62,39,40,18.25,0,31.48,700.0,1.68,00:00:36
71,62,38,40,18.25,0,32.01,700.0,1.68,00:00:45
71,62,38,40,18.25,0,31.48,700.0,1.68,00:00:54
72,62,38,40,18.25,0,31.48,700.0,1.68,00:01:02
72,62,39,40,18.25,0,31.48,700.0,1.68,00:01:11
71,62,38,40,18.25,0,30.94,700.0,1.68,00:01:20
72,62,38,40,18.19,0,31.48,700.0,1.68,00:01:28
71,62,39,39,18.25,0,30.94,700.0,1.68,00:01:37
72,62,39,40,18.25,0,30.94,700.0,1.68,00:01:45
71,62,38,40,18.25,0,30.94,700.0,1.68,00:01:54
72,62,39,40,18.19,0,30.94,700.0,1.68,00:02:03
72,62,38,40,18.25,0,30.4,700.0,1.68,00:02:11
72,62,39,40,18.19,0,30.4,700.0,1.68,00:02:20
72,62,39,40,18.19,0,30.94,700.0,1.68,00:02:31
72,62,39,40,18.19,0,31.48,700.0,1.68,00:02:39
71,62,39,39,18.19,0,30.94,700.0,1.68,00:02:48
71,62,38,40,18.19,0,31.48,700.0,1.68,00:02:57
71,62,38,40,18.25,0,31.48,700.0,1.68,00:03:07
72,62,39,40,18.25,0,31.48,700.0,1.68,00:03:16
71,62,38,40,18.25,0,31.48,700.0,1.68,00:03:26
72,62,39,40,18.19,0,31.48,700.0,1.68,00:03:35
71,62,39,40,18.19,0,31.48,700.0,1.68,00:03:44
71,62,39,40,18.19,0,31.48,700.0,1.68,00:03:52
72,62,38,40,18.25,0,31.48,700.0,1.68,00:04:01
72,63,38,40,18.25,0,30.94,700.0,1.68,00:04:10
72,62,38,40,18.25,0,31.48,700.0,1.68,00:04:18
72,63,38,40,18.19,0,31.48,700.0,1.68,00:04:27
71,62,39,40,18.19,0,31.48,700.0,1.68,00:04:35
72,62,39,40,18.19,0,31.48,700.0,1.68,00:04:44
71,62,39,40,18.19,0,30.94,700.0,1.68,00:04:53
71,62,39,40,18.19,0,31.48,700.0,1.68,00:05:01
71,63,38,39,18.19,0,31.48,700.0,1.68,00:05:10
71,63,39,40,18.19,0,31.48,700.0,1.68,00:05:20
72,63,38,40,18.19,0,31.48,700.0,1.68,00:05:29
72,63,38,40,18.19,0,31.48,700.0,1.68,00:05:38
71,63,39,40,18.19,0,31.48,700.0,1.68,00:05:46
72,62,38,40,18.19,0,31.48,700.0,1.68,00:05:55
71,63,38,40,18.19,0,32.01,700.0,1.68,00:06:04
71,63,39,40,18.19,0,31.48,700.0,1.68,00:06:12
72,62,39,40,18.19,0,30.94,700.0,1.68,00:06:21
72,63,39,40,18.19,0,31.48,700.0,1.68,00:06:30
72,62,38,40,18.19,0,31.48,700.0,1.68,00:06:38
72,62,38,40,18.19,0,31.48,700.0,1.68,00:06:47
71,62,39,40,18.19,0,31.48,700.0,1.68,00:06:56
71,62,38,40,18.19,0,30.4,700.0,1.68,00:07:04
72,63,38,40,18.19,0,30.94,700.0,1.68,00:07:13
71,62,39,40,18.19,0,30.4,700.0,1.68,00:07:22
71,62,38,40,18.19,0,30.4,700.0,1.68,00:07:30
71,62,39,40,18.19,0,30.94,700.0,1.68,00:07:39
72,62,38,40,18.19,0,31.48,700.0,1.68,00:07:48
71,62,38,39,18.19,0,30.94,700.0,1.68,00:07:56
71,62,38,40,18.19,0,31.48,700.0,1.68,00:08:05
71,63,38,40,18.19,0,31.48,700.0,1.68,00:08:15
72,62,39,40,18.19,0,31.48,700.0,1.68,00:08:24
72,62,38,40,18.19,0,30.94,700.0,1.68,00:08:33
71,62,38,40,18.19,0,30.94,700.0,1.68,00:08:41
71,63,39,40,18.19,0,30.94,700.0,1.68,00:08:50
72,62,38,40,18.19,0,31.48,700.0,1.68,00:08:59
71,62,38,39,18.19,0,31.48,700.0,1.68,00:09:07
71,63,38,40,18.19,0,31.48,700.0,1.68,00:09:16
71,62,38,40,18.19,0,30.94,700.0,1.68,00:09:26
72,63,38,40,18.19,0,30.94,700.0,1.68,00:09:35
72,62,39,40,18.19,0,31.48,700.0,1.68,00:09:44
72,62,38,40,18.19,0,30.94,700.0,1.68,00:09:52
72,62,39,40,18.19,0,30.94,700.0,1.68,00:10:01
71,62,39,40,18.19,0,31.48,700.0,1.68,00:10:11
