pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,refilling,cpuTemp,cpuFreq,storageUsed,time
71,50,1,41,21.88,0,37.39,700.0,1.71,00:00:06
71,53,1,42,21.88,0,37.93,700.0,1.71,00:00:15
71,53,1,41,21.88,0,38.47,700.0,1.71,00:00:23
71,53,1,41,21.88,0,38.47,700.0,1.71,00:00:34
71,52,0,41,21.88,0,37.93,700.0,1.71,00:00:43
71,53,1,41,21.88,0,37.93,700.0,1.71,00:00:51
71,53,1,41,21.88,0,37.93,700.0,1.71,00:01:00
70,52,1,42,21.88,0,37.93,700.0,1.71,00:01:09
70,53,1,41,21.88,0,36.86,700.0,1.71,00:01:18
71,52,1,42,21.88,0,37.93,700.0,1.71,00:01:26
70,52,1,42,21.88,0,37.39,700.0,1.71,00:01:35
70,52,1,41,21.88,0,37.39,700.0,1.71,00:01:44
71,53,0,41,21.88,0,37.93,700.0,1.71,00:01:52
71,53,1,41,21.88,0,37.93,700.0,1.71,00:02:01
71,52,1,41,21.88,0,37.93,700.0,1.71,00:02:10
70,53,1,41,21.88,0,37.93,700.0,1.71,00:02:20
71,53,1,42,21.88,0,37.39,700.0,1.71,00:02:29
71,52,1,41,21.88,0,37.93,700.0,1.71,00:02:38
70,52,1,41,21.88,0,37.93,700.0,1.71,00:02:47
70,53,0,41,21.88,0,37.39,700.0,1.71,00:02:55
71,52,1,41,21.88,0,37.93,700.0,1.71,00:03:04
71,52,1,41,21.88,0,37.93,700.0,1.71,00:03:13
71,53,1,41,21.88,0,37.93,700.0,1.71,00:03:22
70,52,1,41,21.88,0,37.39,700.0,1.71,00:03:30
70,52,0,41,21.88,0,37.93,700.0,1.71,00:03:39
71,53,1,42,21.88,0,37.39,700.0,1.71,00:03:48
71,53,0,42,21.88,0,37.39,700.0,1.71,00:03:56
71,53,0,41,21.88,0,37.93,700.0,1.71,00:04:07
71,53,1,41,21.88,0,37.93,700.0,1.71,00:04:15
71,53,1,41,21.88,0,37.93,700.0,1.71,00:04:24
71,53,1,41,21.88,0,37.93,700.0,1.71,00:04:33
70,52,0,42,21.88,0,37.39,700.0,1.71,00:04:42
70,52,1,41,21.88,0,37.93,700.0,1.71,00:04:50
71,52,1,41,21.88,0,37.93,700.0,1.71,00:05:01
71,52,1,41,21.88,0,37.39,700.0,1.71,00:05:10
71,53,1,42,21.88,0,37.93,700.0,1.71,00:05:18
71,53,1,41,21.88,0,37.93,700.0,1.71,00:05:29
71,52,0,42,21.88,0,37.39,700.0,1.71,00:05:38
70,53,1,41,21.88,0,37.93,700.0,1.71,00:05:46
71,52,0,41,21.88,0,37.93,700.0,1.71,00:05:55
70,53,2,42,21.88,0,37.93,700.0,1.71,00:06:04
71,52,1,42,21.88,0,37.93,700.0,1.71,00:06:12
70,52,1,41,21.88,0,37.39,700.0,1.71,00:06:21
71,52,1,41,21.88,0,37.39,700.0,1.71,00:06:30
71,52,0,42,21.88,0,37.93,700.0,1.71,00:06:39
70,53,1,41,21.88,0,37.39,700.0,1.71,00:06:47
71,52,1,41,21.88,0,37.93,700.0,1.71,00:06:56
71,52,0,41,21.88,0,37.93,700.0,1.71,00:07:05
71,52,2,42,21.88,0,37.93,700.0,1.71,00:07:14
71,52,1,41,21.88,0,37.93,700.0,1.71,00:07:22
71,53,1,41,21.88,0,37.93,700.0,1.71,00:07:31
70,53,1,42,21.88,0,37.93,700.0,1.71,00:07:40
71,52,1,42,21.88,0,37.93,700.0,1.71,00:07:48
70,53,0,42,21.88,0,37.93,700.0,1.71,00:07:57
70,53,0,41,21.88,0,36.86,700.0,1.71,00:08:06
70,53,1,41,21.88,0,37.93,700.0,1.71,00:08:15
71,53,1,41,21.88,0,37.39,700.0,1.71,00:08:23
70,53,1,42,21.88,0,37.93,700.0,1.71,00:08:32
71,52,0,42,21.88,0,36.86,700.0,1.71,00:08:41
71,52,0,41,21.88,0,37.93,700.0,1.71,00:08:49
70,53,0,42,21.88,0,37.39,700.0,1.71,00:08:58
70,52,1,41,21.88,0,37.39,700.0,1.71,00:09:07
70,53,1,42,21.88,0,37.39,700.0,1.71,00:09:16
71,52,0,41,21.88,0,37.93,700.0,1.71,00:09:24
71,52,0,41,21.88,0,37.93,700.0,1.71,00:09:33
71,52,1,41,21.88,0,37.93,700.0,1.71,00:09:42
71,52,1,42,21.88,0,37.93,700.0,1.71,00:09:51
71,52,0,41,21.88,0,37.93,700.0,1.71,00:09:59
71,53,0,41,21.88,0,36.86,700.0,1.71,00:10:08
70,53,0,41,21.88,0,36.86,700.0,1.71,00:10:17
71,52,0,42,21.88,0,37.93,700.0,1.71,00:10:25
71,53,0,41,21.88,0,37.93,700.0,1.71,00:10:34
70,52,1,42,21.88,0,37.39,700.0,1.71,00:10:43
70,53,0,41,21.88,0,37.93,700.0,1.71,00:10:52
71,52,0,41,21.88,0,37.93,700.0,1.71,00:11:00
71,53,0,41,21.88,0,37.93,700.0,1.71,00:11:09
70,52,1,42,21.88,0,37.93,700.0,1.71,00:11:18
70,53,0,41,21.88,0,37.93,700.0,1.71,00:11:26
71,52,1,41,21.88,0,37.93,700.0,1.71,00:11:35
70,53,0,42,21.88,0,37.93,700.0,1.71,00:11:44
70,53,0,41,21.88,0,37.93,700.0,1.71,00:11:53
71,53,0,41,21.88,0,37.39,700.0,1.71,00:12:01
70,53,1,41,21.88,0,37.93,700.0,1.71,00:12:10
71,52,0,41,21.88,0,36.86,700.0,1.71,00:12:19
71,52,0,41,21.88,0,37.39,700.0,1.71,00:12:28
71,53,0,42,21.88,0,37.39,700.0,1.71,00:12:36
71,53,1,41,21.88,0,36.86,700.0,1.71,00:12:45
71,53,0,41,21.88,0,37.93,700.0,1.71,00:12:55
71,52,0,41,21.88,0,37.93,700.0,1.71,00:13:04
70,53,0,42,21.88,0,37.93,700.0,1.71,00:13:13
71,53,0,41,21.88,0,37.93,700.0,1.71,00:13:22
70,52,1,41,21.88,0,37.39,700.0,1.71,00:13:32
71,53,0,42,21.88,0,37.39,700.0,1.71,00:13:40
71,53,0,41,21.88,0,37.93,700.0,1.71,00:13:49
70,52,0,41,21.88,0,37.39,700.0,1.71,00:13:58
70,52,0,41,21.88,0,37.93,700.0,1.71,00:14:07
70,52,0,41,21.88,0,37.93,700.0,1.71,00:14:15
70,52,1,41,21.88,0,37.93,700.0,1.71,00:14:24
70,52,0,42,21.88,0,37.39,700.0,1.71,00:14:32
71,53,1,42,21.88,0,37.93,700.0,1.71,00:14:43
71,53,0,41,21.88,0,37.93,700.0,1.71,00:14:53
71,52,1,41,21.88,0,37.93,700.0,1.71,00:15:02
70,53,0,41,21.88,0,37.93,700.0,1.71,00:15:11
71,52,0,42,21.88,0,37.93,700.0,1.71,00:15:21
70,53,1,41,21.88,0,37.93,700.0,1.71,00:15:30
71,53,1,41,21.88,0,37.93,700.0,1.71,00:15:39
71,52,1,42,21.88,0,37.93,700.0,1.71,00:15:47
70,52,0,41,21.88,0,37.93,700.0,1.71,00:15:56
71,53,0,41,21.88,0,37.39,700.0,1.71,00:16:05
71,52,0,42,21.88,0,37.93,700.0,1.71,00:16:14
71,53,0,41,21.88,0,38.47,700.0,1.71,00:16:24
70,52,0,42,21.88,0,37.93,700.0,1.71,00:16:33
71,53,1,41,21.88,0,37.39,700.0,1.71,00:16:42
71,53,0,41,21.88,0,37.93,700.0,1.71,00:16:50
71,52,0,42,21.88,0,37.93,700.0,1.71,00:16:59
71,53,1,41,21.88,0,37.93,700.0,1.71,00:17:08
70,52,0,41,21.88,0,37.39,700.0,1.71,00:17:17
71,52,0,41,21.88,0,37.39,700.0,1.71,00:17:25
71,53,1,41,21.88,0,37.93,700.0,1.71,00:17:34
71,52,1,41,21.88,0,37.93,700.0,1.71,00:17:43
71,53,0,42,21.88,0,37.93,700.0,1.71,00:17:51
70,53,0,42,21.88,0,37.93,700.0,1.71,00:18:00
71,53,0,41,21.88,0,37.93,700.0,1.71,00:18:11
71,52,1,41,21.88,0,37.93,700.0,1.71,00:18:19
71,53,0,42,21.88,0,37.93,700.0,1.71,00:18:28
71,53,1,41,21.88,0,37.93,700.0,1.71,00:18:37
71,52,1,41,21.88,0,37.93,1000.0,1.71,00:18:46
71,53,0,42,21.88,0,37.93,700.0,1.71,00:18:54
71,53,0,41,21.88,0,37.93,700.0,1.71,00:19:03
71,52,1,41,21.88,0,37.93,700.0,1.71,00:19:12
71,53,0,41,21.88,0,37.93,700.0,1.71,00:19:21
70,53,0,42,21.88,0,37.93,700.0,1.71,00:19:29
71,52,1,41,21.81,0,37.39,700.0,1.71,00:19:38
70,53,0,41,21.88,0,36.86,700.0,1.71,00:19:47
71,52,0,42,21.88,0,37.93,700.0,1.71,00:19:56
70,53,1,42,21.81,0,37.93,700.0,1.71,00:20:04
70,52,1,41,21.88,0,37.39,700.0,1.71,00:20:13
70,53,1,41,21.88,0,37.93,700.0,1.71,00:20:22
70,53,1,41,21.88,0,37.39,700.0,1.71,00:20:30
71,52,0,41,21.88,0,37.39,700.0,1.71,00:20:39
70,52,1,41,21.88,0,37.93,700.0,1.71,00:20:48
71,53,1,42,21.88,0,37.93,700.0,1.71,00:20:57
70,53,0,41,21.81,0,37.93,700.0,1.71,00:21:05
70,52,0,42,21.81,0,37.39,700.0,1.71,00:21:14
71,53,0,42,21.88,0,37.93,700.0,1.71,00:21:23
70,52,1,41,21.81,0,37.39,700.0,1.71,00:21:31
71,52,0,41,21.88,0,37.93,700.0,1.71,00:21:40
71,53,0,41,21.81,0,37.39,700.0,1.71,00:21:49
71,52,1,41,21.81,0,37.93,700.0,1.71,00:21:58
71,52,0,41,21.88,0,37.39,700.0,1.71,00:22:06
71,52,1,42,21.88,0,37.93,700.0,1.71,00:22:15
71,53,1,41,21.88,0,37.39,700.0,1.71,00:22:24
71,53,1,41,21.88,0,37.39,700.0,1.71,00:22:32
70,52,1,42,21.81,0,37.93,700.0,1.71,00:22:41
71,52,0,41,21.81,0,37.93,700.0,1.71,00:22:50
70,52,1,42,21.81,0,37.39,700.0,1.71,00:22:59
71,53,0,41,21.81,0,37.93,700.0,1.71,00:23:07
71,53,0,41,21.81,0,37.93,700.0,1.71,00:23:16
71,53,0,41,21.81,0,37.39,700.0,1.71,00:23:25
71,52,0,41,21.81,0,37.93,700.0,1.71,00:23:36
71,52,1,41,21.81,0,37.93,700.0,1.71,00:23:44
71,52,0,41,21.81,0,37.39,700.0,1.71,00:23:53
71,52,0,42,21.81,0,37.93,700.0,1.71,00:24:02
71,52,0,41,21.81,0,37.93,700.0,1.71,00:24:10
71,52,0,41,21.81,0,37.93,700.0,1.71,00:24:19
71,52,1,42,21.81,0,37.39,700.0,1.71,00:24:28
71,52,1,41,21.81,0,37.39,700.0,1.71,00:24:37
71,53,1,42,21.81,0,37.93,700.0,1.71,00:24:45
71,53,2,41,21.81,0,37.93,700.0,1.71,00:24:54
70,53,2,41,21.88,0,37.93,700.0,1.71,00:25:04
71,52,1,41,21.81,0,37.93,700.0,1.71,00:25:13
71,52,0,41,21.81,0,36.86,700.0,1.71,00:25:22
71,52,0,41,21.81,0,37.93,700.0,1.71,00:25:31
71,53,0,41,21.81,0,38.47,1000.0,1.71,00:25:39
71,53,1,41,21.81,0,37.93,700.0,1.71,00:25:48
71,53,0,41,21.81,0,38.47,700.0,1.71,00:25:59
70,53,0,42,21.81,0,38.47,700.0,1.71,00:26:08
70,52,0,41,21.81,0,38.47,700.0,1.71,00:26:16
70,53,0,41,21.81,0,37.93,700.0,1.71,00:26:25
71,52,0,41,21.81,0,37.93,700.0,1.71,00:26:34
70,53,1,41,21.81,0,37.93,700.0,1.71,00:26:42
71,52,1,42,21.81,0,37.93,700.0,1.71,00:26:51
70,52,1,42,21.81,0,37.93,700.0,1.71,00:27:00
70,52,1,41,21.81,0,37.93,700.0,1.71,00:27:09
70,52,0,41,21.81,0,37.93,700.0,1.71,00:27:17
71,52,1,41,21.81,0,38.47,700.0,1.71,00:27:26
70,53,0,41,21.81,0,37.93,700.0,1.71,00:27:35
70,53,0,41,21.81,0,37.39,700.0,1.71,00:27:44
71,53,0,41,21.81,0,37.93,700.0,1.71,00:27:52
71,53,1,42,21.81,0,37.93,700.0,1.71,00:28:01
70,53,0,42,21.81,0,37.39,700.0,1.71,00:28:10
71,52,1,41,21.81,0,37.93,700.0,1.71,00:28:18
70,53,1,41,21.81,0,38.47,700.0,1.71,00:28:27
70,53,0,41,21.81,0,37.93,700.0,1.71,00:28:36
71,52,1,41,21.81,0,38.47,700.0,1.71,00:28:45
71,52,1,41,21.81,0,37.93,700.0,1.71,00:28:53
71,53,1,41,21.81,0,37.93,700.0,1.71,00:29:02
70,52,0,41,21.81,0,38.47,700.0,1.71,00:29:12
71,53,1,41,21.81,0,38.47,700.0,1.71,00:29:21
71,53,1,41,21.81,0,37.93,700.0,1.71,00:29:30
70,52,0,41,21.81,0,37.93,700.0,1.71,00:29:39
71,53,1,41,21.81,0,37.93,700.0,1.71,00:29:47
70,52,1,41,21.81,0,37.93,700.0,1.71,00:29:56
70,53,0,42,21.81,0,38.47,700.0,1.71,00:30:05
71,53,1,41,21.81,0,38.47,700.0,1.71,00:30:14
71,52,1,41,21.81,0,37.93,700.0,1.71,00:30:22
71,53,0,41,21.81,0,38.47,700.0,1.71,00:30:31
71,52,1,41,21.81,0,39.01,700.0,1.71,00:30:42
71,52,1,41,21.81,0,38.47,700.0,1.71,00:30:50
71,52,1,42,21.81,0,39.01,700.0,1.71,00:30:59
71,53,1,42,21.81,0,37.93,700.0,1.71,00:31:08
71,52,1,41,21.81,0,38.47,700.0,1.71,00:31:16
71,53,0,41,21.81,0,38.47,700.0,1.71,00:31:25
71,52,0,41,21.81,0,38.47,700.0,1.71,00:31:34
71,53,0,41,21.81,0,39.01,700.0,1.71,00:31:43
71,52,0,41,21.81,0,38.47,700.0,1.71,00:31:51
71,52,0,41,21.81,0,38.47,700.0,1.71,00:32:00
71,53,0,41,21.81,0,38.47,700.0,1.71,00:32:09
70,53,1,41,21.81,0,39.55,1000.0,1.71,00:32:19
70,52,1,41,21.81,0,38.47,700.0,1.71,00:32:28
70,52,0,42,21.81,0,39.01,700.0,1.71,00:32:38
71,52,0,41,21.81,0,39.01,700.0,1.71,00:32:47
71,52,0,41,21.81,0,38.47,700.0,1.71,00:32:56
71,53,1,42,21.81,0,39.01,700.0,1.71,00:33:04
71,53,0,42,21.81,0,38.47,700.0,1.71,00:33:13
70,53,0,41,21.81,0,38.47,700.0,1.71,00:33:22
70,52,1,42,21.81,0,38.47,700.0,1.71,00:33:31
71,52,0,41,21.81,0,38.47,700.0,1.71,00:33:39
70,52,1,41,21.81,0,39.01,700.0,1.71,00:33:48
70,52,0,42,21.81,0,39.01,700.0,1.71,00:33:57
70,52,0,41,21.81,0,39.01,700.0,1.71,00:34:05
70,52,1,41,21.81,0,39.01,700.0,1.71,00:34:14
70,53,1,41,21.81,0,38.47,700.0,1.71,00:34:23
71,52,1,41,21.81,0,38.47,700.0,1.71,00:34:32
71,53,0,41,21.81,0,39.01,700.0,1.71,00:34:40
70,52,1,41,21.81,0,38.47,700.0,1.71,00:34:49
70,53,0,41,21.81,0,39.01,700.0,1.71,00:34:58
70,52,0,41,21.81,0,37.93,700.0,1.71,00:35:06
70,52,1,41,21.81,0,39.01,700.0,1.71,00:35:17
71,53,0,42,21.81,0,39.01,700.0,1.71,00:35:26
71,53,1,42,21.81,0,38.47,700.0,1.71,00:35:34
70,52,1,41,21.81,0,39.01,700.0,1.71,00:35:43
70,53,0,42,21.81,0,39.01,700.0,1.71,00:35:52
70,53,0,41,21.81,0,39.01,700.0,1.71,00:36:01
71,52,0,41,21.81,0,39.01,700.0,1.71,00:36:09
71,53,1,41,21.81,0,39.01,700.0,1.71,00:36:18
71,52,0,41,21.81,0,39.01,700.0,1.71,00:36:29
70,53,0,42,21.81,0,38.47,700.0,1.71,00:36:37
70,52,0,42,21.81,0,39.01,700.0,1.71,00:36:46
71,52,1,42,21.81,0,39.01,700.0,1.71,00:36:55
70,53,1,41,21.81,0,39.01,700.0,1.71,00:37:04
71,52,1,42,21.81,0,38.47,700.0,1.71,00:37:12
70,52,0,42,21.81,0,38.47,700.0,1.71,00:37:21
70,53,0,41,21.81,0,38.47,700.0,1.71,00:37:30
71,53,0,41,21.81,0,37.93,700.0,1.71,00:37:38
70,52,1,41,21.81,0,38.47,700.0,1.71,00:37:47
71,52,1,41,21.81,0,38.47,700.0,1.71,00:37:56
71,53,0,41,21.81,0,37.93,700.0,1.71,00:38:07
71,53,1,41,21.81,0,39.01,700.0,1.71,00:38:15
70,52,0,41,21.81,0,38.47,700.0,1.71,00:38:24
70,53,0,41,21.81,0,39.01,700.0,1.71,00:38:33
70,53,0,41,21.81,0,38.47,700.0,1.71,00:38:41
71,53,0,41,21.81,0,38.47,700.0,1.71,00:38:50
71,53,0,41,21.81,0,38.47,700.0,1.71,00:38:59
70,53,0,41,21.81,0,37.93,700.0,1.71,00:39:08
71,53,0,41,21.81,0,39.01,700.0,1.71,00:39:16
70,52,0,41,21.81,0,38.47,700.0,1.71,00:39:25
70,53,1,42,21.81,0,38.47,700.0,1.71,00:39:34
70,52,1,41,21.81,0,37.93,700.0,1.71,00:39:42
70,52,1,41,21.81,0,38.47,700.0,1.71,00:39:51
71,53,1,41,21.81,0,38.47,700.0,1.71,00:40:00
70,53,1,41,21.81,0,37.93,700.0,1.71,00:40:09
71,52,1,41,21.81,0,37.93,700.0,1.71,00:40:17
71,53,0,41,21.81,0,38.47,700.0,1.71,00:40:26
70,53,0,41,21.81,0,39.01,700.0,1.71,00:40:36
71,52,0,42,21.81,0,38.47,700.0,1.71,00:40:45
71,53,1,41,21.81,0,39.01,700.0,1.71,00:40:54
71,52,1,42,21.81,0,39.01,700.0,1.71,00:41:03
71,53,1,41,21.81,0,38.47,700.0,1.71,00:41:11
70,52,0,41,21.81,0,39.01,700.0,1.71,00:41:20
70,52,0,41,21.81,0,38.47,700.0,1.71,00:41:29
70,53,0,41,21.81,0,38.47,700.0,1.71,00:41:38
71,52,0,41,21.81,0,38.47,700.0,1.71,00:41:46
70,53,0,41,21.81,0,38.47,700.0,1.71,00:41:55
70,53,0,41,21.81,0,38.47,700.0,1.71,00:42:04
71,53,0,42,21.81,0,39.01,700.0,1.71,00:42:14
70,52,0,41,21.81,0,39.01,700.0,1.71,00:42:23
70,52,1,41,21.81,0,39.01,700.0,1.71,00:42:31
70,52,1,42,21.81,0,39.01,700.0,1.71,00:42:40
70,53,1,41,21.81,0,38.47,700.0,1.71,00:42:49
71,52,1,41,21.81,0,38.47,700.0,1.71,00:42:58
70,53,2,41,21.81,0,38.47,700.0,1.71,00:43:06
70,53,1,41,21.81,0,38.47,700.0,1.71,00:43:15
70,53,1,41,21.81,0,39.01,700.0,1.71,00:43:25
70,53,2,41,21.81,0,39.01,700.0,1.71,00:43:34
70,53,2,41,21.81,0,39.01,700.0,1.71,00:43:43
71,52,2,41,21.81,0,38.47,700.0,1.71,00:43:52
70,53,1,41,21.81,0,38.47,700.0,1.71,00:44:00
70,53,1,41,21.81,0,38.47,700.0,1.71,00:44:09
71,52,1,42,21.81,0,38.47,700.0,1.71,00:44:18
70,53,1,41,21.81,0,38.47,700.0,1.71,00:44:26
71,53,0,41,21.81,0,39.01,700.0,1.71,00:44:35
71,52,0,41,21.81,0,38.47,700.0,1.71,00:44:44
71,52,1,41,21.81,0,39.01,700.0,1.71,00:44:55
70,53,0,42,21.81,0,38.47,700.0,1.71,00:45:03
71,53,1,41,21.81,0,39.55,700.0,1.71,00:45:12
70,53,1,42,21.81,0,38.47,700.0,1.71,00:45:21
70,53,0,41,21.81,0,38.47,700.0,1.71,00:45:29
70,52,0,42,21.81,0,39.01,700.0,1.71,00:45:38
71,53,0,41,21.81,0,39.01,700.0,1.71,00:45:47
70,53,1,42,21.81,0,38.47,700.0,1.71,00:45:56
70,53,0,42,21.81,0,38.47,700.0,1.71,00:46:04
71,53,1,41,21.81,0,38.47,700.0,1.71,00:46:15
