pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,waterState,cpuTemp,cpuFreq,storageUsed,time
71,55,36,39,20.19,0,36.86,700.0,2.04,00:00:08
71,54,35,40,20.19,0,36.32,700.0,2.04,00:00:17
72,54,35,41,20.25,0,36.86,700.0,2.04,00:00:25
71,54,35,40,20.25,0,36.86,700.0,2.04,00:00:34
72,54,34,39,20.19,0,37.93,700.0,2.04,00:00:43
71,54,34,40,20.25,0,36.86,700.0,2.04,00:00:52
71,54,34,39,20.19,0,36.86,700.0,2.04,00:01:00
71,53,33,39,20.19,0,36.86,700.0,2.04,00:01:11
71,53,33,39,20.19,0,36.86,700.0,2.04,00:01:19
71,53,33,39,20.19,0,37.39,700.0,2.04,00:01:30
71,53,33,39,20.19,0,36.86,700.0,2.04,00:01:38
71,52,32,39,20.19,0,36.86,700.0,2.04,00:01:47
71,53,32,39,20.19,0,36.86,700.0,2.04,00:01:56
71,52,31,39,20.19,0,36.86,700.0,2.04,00:02:05
71,52,32,38,20.19,0,36.86,700.0,2.04,00:02:13
71,52,31,38,20.19,0,36.86,700.0,2.04,00:02:22
71,52,30,38,20.19,0,36.86,700.0,2.04,00:02:33
71,52,31,38,20.25,0,36.86,700.0,2.04,00:02:41
71,52,30,38,20.19,0,36.86,700.0,2.04,00:02:50
71,51,30,38,20.19,0,36.86,700.0,2.04,00:02:59
71,51,30,38,20.19,0,36.86,700.0,2.04,00:03:08
71,51,29,38,20.25,0,36.86,700.0,2.04,00:03:16
71,51,29,38,20.19,0,36.86,700.0,2.04,00:03:25
71,51,29,38,20.19,0,36.86,700.0,2.04,00:03:34
71,51,29,38,20.19,0,37.39,700.0,2.04,00:03:44
71,51,28,38,20.19,0,36.86,700.0,2.04,00:03:53
72,51,29,38,20.19,0,36.86,700.0,2.04,00:04:01
71,51,28,37,20.19,0,36.86,700.0,2.04,00:04:10
71,51,27,37,20.19,0,36.86,700.0,2.04,00:04:19
72,51,28,37,20.19,0,36.32,700.0,2.04,00:04:28
72,51,27,37,20.19,0,36.86,700.0,2.04,00:04:36
72,51,27,37,20.19,0,36.32,700.0,2.04,00:04:45
72,51,27,38,20.19,0,36.32,700.0,2.04,00:04:56
72,51,26,37,20.19,0,36.86,700.0,2.04,00:05:06
72,51,26,37,20.19,0,36.32,700.0,2.04,00:05:15
71,51,23,37,20.19,0,36.32,700.0,2.04,00:05:23
72,51,25,37,20.19,0,36.86,700.0,2.04,00:05:32
72,51,27,37,20.19,0,36.86,700.0,2.04,00:05:41
72,51,27,37,20.19,0,36.32,700.0,2.04,00:05:49
72,51,29,37,20.19,0,36.86,700.0,2.04,00:05:58
