pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,waterState,cpuTemp,cpuFreq,storageUsed,time
70,52,32,27,19.94,-1,37.39,700.0,2.05,00:00:08
71,51,33,28,19.94,-1,36.86,700.0,2.05,00:00:17
71,52,34,27,19.94,0,36.86,700.0,2.05,00:00:25
71,53,35,27,19.94,0,37.39,700.0,2.05,00:00:34
70,53,36,27,19.94,0,36.86,700.0,2.05,00:00:43
71,53,36,26,19.94,-1,36.32,700.0,2.05,00:00:52
70,54,36,27,19.94,0,36.86,700.0,2.05,00:01:00
70,54,35,26,19.94,-1,36.86,700.0,2.05,00:01:09
70,55,36,26,19.94,-1,36.86,700.0,2.05,00:01:18
70,54,37,26,19.88,-1,36.86,700.0,2.05,00:01:26
70,55,37,26,19.94,-1,36.86,700.0,2.05,00:01:35
70,55,37,25,19.94,-1,36.32,700.0,2.05,00:01:46
71,56,37,26,19.94,-1,36.86,700.0,2.05,00:01:54
70,56,38,26,19.94,0,36.86,700.0,2.05,00:02:03
70,57,38,27,19.88,-1,36.86,700.0,2.05,00:02:12
70,57,38,27,19.94,-1,36.32,700.0,2.05,00:02:21
70,57,38,28,19.94,-1,36.86,700.0,2.05,00:02:29
70,57,39,28,19.94,-1,36.86,700.0,2.05,00:02:40
70,58,40,28,19.94,-1,37.39,700.0,2.05,00:02:49
70,57,39,29,19.94,-1,36.32,700.0,2.05,00:02:57
70,57,39,29,19.94,-1,36.86,700.0,2.05,00:03:06
70,56,38,29,19.88,-1,36.86,700.0,2.05,00:03:15
70,56,38,30,19.88,-1,36.86,800.0,2.05,00:03:23
70,56,37,31,19.94,-1,36.86,700.0,2.05,00:03:32
70,55,37,31,19.94,-1,36.86,700.0,2.05,00:03:41
69,54,36,31,19.94,-1,36.86,700.0,2.05,00:03:50
70,54,35,31,19.94,-1,36.86,700.0,2.05,00:03:58
69,54,35,32,19.94,-1,36.86,700.0,2.05,00:04:07
70,53,35,32,19.94,-1,36.86,700.0,2.05,00:04:16
70,52,35,32,19.94,-1,36.86,700.0,2.05,00:04:24
70,52,35,33,19.88,-1,36.86,700.0,2.05,00:04:33
70,52,35,33,19.94,-1,36.86,700.0,2.05,00:04:42
69,52,35,33,19.94,-1,36.86,700.0,2.05,00:04:51
69,51,35,33,19.94,-1,36.86,700.0,2.05,00:04:59
70,50,39,35,19.94,-1,36.86,700.0,2.05,00:05:10
69,51,35,35,19.88,-1,36.86,700.0,2.05,00:05:18
70,50,35,35,19.94,-1,36.32,700.0,2.05,00:05:27
70,50,35,35,19.88,-1,36.86,700.0,2.05,00:05:36
70,50,34,36,19.88,-1,36.86,700.0,2.05,00:05:45
70,50,35,35,19.88,-1,38.47,700.0,2.05,00:05:53
70,50,35,36,19.88,-1,36.86,700.0,2.05,00:06:02
70,49,35,36,19.88,-1,36.86,700.0,2.05,00:06:11
70,49,35,37,19.94,-1,36.86,700.0,2.05,00:06:19
69,49,35,36,19.88,-1,36.86,700.0,2.05,00:06:28
69,49,35,37,19.88,-1,36.86,700.0,2.05,00:06:37
70,49,35,38,19.94,-1,37.39,700.0,2.05,00:06:47
70,49,34,38,19.88,-1,36.86,700.0,2.05,00:06:56
70,49,34,38,19.88,-1,36.86,700.0,2.05,00:07:05
70,49,34,38,19.88,-1,36.32,700.0,2.05,00:07:14
69,49,35,39,19.88,-1,36.86,700.0,2.05,00:07:22
69,49,34,39,19.88,-1,36.86,700.0,2.05,00:07:31
70,49,34,40,19.88,-1,36.86,700.0,2.05,00:07:42
70,49,34,39,19.88,-1,36.86,700.0,2.05,00:07:52
70,49,34,39,19.88,-1,36.86,700.0,2.05,00:08:01
70,49,35,38,19.88,-1,36.86,700.0,2.05,00:08:09
70,49,35,39,19.88,-1,36.86,700.0,2.05,00:08:22
70,49,34,38,19.88,-1,36.86,700.0,2.05,00:08:30
70,49,35,38,19.88,-1,36.86,700.0,2.05,00:08:39
70,49,34,38,19.94,-1,37.39,700.0,2.05,00:08:50
70,49,34,38,19.94,-1,36.86,700.0,2.05,00:08:58
70,49,34,37,19.88,-1,36.86,700.0,2.05,00:09:07
71,49,34,37,19.88,-1,36.86,700.0,2.05,00:09:16
71,49,35,37,19.88,0,36.86,700.0,2.05,00:09:25
70,49,34,37,19.88,0,36.86,700.0,2.05,00:09:33
70,49,34,37,19.88,-1,36.86,700.0,2.05,00:09:42
71,49,35,37,19.88,-1,36.32,700.0,2.05,00:09:51
70,49,35,36,19.88,0,36.32,700.0,2.05,00:10:00
70,49,35,36,19.94,-1,36.86,700.0,2.05,00:10:08
70,50,35,36,19.94,-1,36.86,700.0,2.05,00:10:17
70,50,35,36,19.88,-1,36.86,700.0,2.05,00:10:26
70,49,35,36,19.94,-1,36.86,700.0,2.05,00:10:34
70,49,34,36,19.88,-1,36.86,700.0,2.05,00:10:43
70,49,34,35,19.88,-1,36.86,700.0,2.05,00:10:52
71,49,35,36,19.94,-1,36.86,700.0,2.05,00:11:01
70,49,34,35,19.94,0,36.86,700.0,2.05,00:11:09
70,49,34,35,19.88,-1,36.86,700.0,2.05,00:11:18
71,50,34,35,19.88,-1,36.86,700.0,2.05,00:11:27
70,50,34,35,19.88,0,36.86,700.0,2.05,00:11:35
70,50,34,34,19.88,-1,36.32,700.0,2.05,00:11:44
71,50,34,34,19.88,-1,36.32,700.0,2.05,00:11:53
71,50,35,34,19.88,0,36.86,700.0,2.05,00:12:03
70,50,34,34,19.94,0,36.86,700.0,2.05,00:12:13
71,50,35,34,19.88,-1,36.86,700.0,2.05,00:12:24
71,50,34,34,19.88,0,36.86,700.0,2.05,00:12:34
70,50,35,34,19.88,0,37.93,700.0,2.05,00:12:44
71,50,34,53,19.88,-1,37.39,700.0,2.05,00:12:54
71,50,34,33,19.88,0,36.86,700.0,2.05,00:13:03
70,50,34,33,19.88,0,36.86,700.0,2.05,00:13:14
71,50,34,32,19.88,-1,36.86,700.0,2.05,00:13:22
71,50,35,33,19.94,0,36.86,700.0,2.05,00:13:31
71,50,34,32,19.88,0,36.86,700.0,2.05,00:13:42
71,49,35,33,19.88,0,36.86,700.0,2.05,00:13:51
71,50,35,32,19.88,0,37.39,700.0,2.05,00:13:59
71,49,35,32,19.88,0,36.86,700.0,2.05,00:14:08
71,49,34,32,19.88,0,36.86,700.0,2.05,00:14:18
71,49,34,32,19.88,0,36.32,700.0,2.05,00:14:27
71,49,34,32,19.88,0,36.86,700.0,2.05,00:14:36
71,49,34,31,19.88,0,36.86,700.0,2.05,00:14:44
71,50,34,27,19.88,0,36.86,700.0,2.05,00:14:53
70,50,35,31,19.88,0,36.32,700.0,2.05,00:15:02
71,49,34,31,19.88,-1,36.32,700.0,2.05,00:15:11
71,50,36,31,19.88,0,36.86,700.0,2.05,00:15:19
71,49,34,31,19.88,0,36.86,700.0,2.05,00:15:28
71,49,34,31,19.88,0,36.32,700.0,2.05,00:15:37
71,49,34,31,19.88,0,36.32,700.0,2.05,00:15:46
71,49,34,30,19.88,0,36.32,700.0,2.05,00:15:54
71,50,34,30,19.88,0,36.86,700.0,2.05,00:16:03
71,50,35,32,19.88,0,36.86,700.0,2.05,00:16:12
71,49,34,30,19.88,0,36.32,700.0,2.05,00:16:20
70,49,34,30,19.88,0,36.32,700.0,2.05,00:16:29
71,50,34,30,19.94,-1,36.86,700.0,2.05,00:16:38
70,50,34,29,19.88,0,36.32,700.0,2.05,00:16:47
71,50,34,29,19.88,-1,36.86,700.0,2.05,00:16:55
71,49,34,28,19.88,0,35.78,700.0,2.05,00:17:04
70,49,34,29,19.88,0,37.39,1000.0,2.05,00:17:13
71,50,36,29,19.88,-1,36.86,700.0,2.05,00:17:21
70,49,34,29,19.88,0,36.32,700.0,2.05,00:17:30
71,50,34,28,19.88,-1,36.86,700.0,2.05,00:17:39
71,50,34,28,19.88,0,36.86,700.0,2.05,00:17:48
71,50,34,29,19.88,0,36.86,700.0,2.05,00:17:56
