pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,waterState,cpuTemp,cpuFreq,storageUsed,time
67,57,39,41,19.94,0,38.47,700.0,1.95,00:00:04
67,58,39,41,19.88,0,37.93,700.0,1.95,00:00:13
67,58,39,41,19.88,0,37.93,700.0,1.95,00:00:22
67,58,39,41,19.88,0,37.93,700.0,1.95,00:00:31
67,58,39,42,19.88,0,38.47,700.0,1.95,00:00:43
67,59,39,42,19.94,0,39.01,700.0,1.95,00:00:53
67,59,39,41,19.94,0,39.01,700.0,1.95,00:01:03
67,59,42,42,19.88,0,39.01,700.0,1.95,00:01:14
67,59,41,41,19.88,0,38.47,700.0,1.95,00:01:24
67,59,40,41,19.88,0,39.01,700.0,1.95,00:01:34
67,59,39,42,19.88,0,39.01,700.0,1.95,00:01:45
67,58,39,41,19.88,0,39.01,700.0,1.95,00:01:55
67,57,38,42,19.88,0,38.47,700.0,1.95,00:02:04
67,57,38,42,19.88,0,37.93,700.0,1.95,00:02:12
67,57,38,42,19.88,0,37.93,700.0,1.95,00:02:21
67,56,37,42,19.88,0,37.93,700.0,1.95,00:02:30
67,56,37,42,19.88,0,39.01,700.0,1.95,00:02:40
67,55,37,41,19.88,0,38.47,700.0,1.95,00:02:49
67,55,36,42,19.88,-1,38.47,700.0,1.95,00:02:58
67,54,36,42,19.88,-1,37.93,700.0,1.95,00:03:07
67,55,35,41,19.88,-1,39.01,700.0,1.95,00:03:19
67,54,35,41,19.88,-1,39.01,700.0,1.95,00:03:28
67,53,35,41,19.88,-1,38.47,700.0,1.95,00:03:37
67,54,34,42,19.88,-1,38.47,700.0,1.95,00:03:45
67,54,34,41,19.88,-1,38.47,700.0,1.95,00:03:54
68,53,34,41,19.88,-1,38.47,700.0,1.95,00:04:03
68,53,33,42,19.88,0,38.47,700.0,1.95,00:04:11
67,53,33,41,19.88,0,38.47,700.0,1.95,00:04:20
67,53,33,41,19.88,-1,37.93,700.0,1.95,00:04:29
67,52,33,42,19.88,-1,38.47,700.0,1.95,00:04:39
67,52,33,42,19.88,-1,39.01,700.0,1.95,00:04:48
67,52,32,41,19.88,-1,37.93,700.0,1.95,00:04:57
67,51,32,42,19.94,-1,38.47,700.0,1.95,00:05:05
67,51,32,41,19.88,-1,38.47,700.0,1.95,00:05:14
67,51,31,41,19.88,-1,37.93,700.0,1.95,00:05:23
67,51,31,41,19.88,-1,37.93,700.0,1.95,00:05:32
67,52,31,41,19.94,-1,38.47,700.0,1.95,00:05:40
67,51,30,41,19.88,-1,38.47,700.0,1.95,00:05:49
67,50,31,41,19.88,-1,38.47,700.0,1.95,00:05:58
67,51,30,42,19.88,-1,37.93,700.0,1.95,00:06:07
67,51,30,42,19.88,-1,37.93,700.0,1.95,00:06:15
67,51,30,42,19.88,-1,37.93,700.0,1.95,00:06:24
67,51,29,41,19.88,-1,37.93,700.0,1.95,00:06:33
67,51,29,42,19.88,-1,37.93,700.0,1.95,00:06:41
67,50,29,42,19.88,-1,37.93,700.0,1.95,00:06:52
67,50,29,41,19.88,-1,37.93,700.0,1.95,00:07:01
67,50,28,41,19.88,-1,38.47,700.0,1.95,00:07:09
67,50,28,42,19.88,-1,37.93,700.0,1.95,00:07:18
67,50,28,42,19.88,-1,37.93,700.0,1.95,00:07:27
67,50,28,41,19.88,-1,37.93,700.0,1.95,00:07:36
67,50,28,41,19.88,-1,38.47,800.0,1.95,00:07:44
67,50,27,41,19.88,-1,37.93,700.0,1.95,00:07:53
67,50,27,42,19.88,-1,37.93,700.0,1.95,00:08:02
67,50,27,42,19.88,-1,37.93,700.0,1.95,00:08:10
67,50,27,42,19.88,-1,38.47,700.0,1.95,00:08:19
67,50,27,42,19.88,-1,37.93,700.0,1.95,00:08:28
67,50,26,42,19.88,-1,37.93,700.0,1.95,00:08:37
67,50,26,41,19.88,-1,37.93,700.0,1.95,00:08:45
67,49,26,41,19.88,-1,37.93,700.0,1.95,00:08:54
68,50,26,42,19.88,-1,37.93,700.0,1.95,00:09:03
67,49,26,42,19.88,0,37.93,700.0,1.95,00:09:12
67,50,25,41,19.88,-1,37.93,700.0,1.95,00:09:20
67,50,26,41,19.88,-1,37.93,700.0,1.95,00:09:29
67,50,27,41,19.88,-1,37.93,700.0,1.95,00:09:38
67,50,27,42,19.88,-1,38.47,700.0,1.95,00:09:46
67,50,29,42,19.88,-1,37.93,700.0,1.95,00:09:57
67,50,29,42,19.88,-1,37.93,700.0,1.95,00:10:05
67,51,30,42,19.88,-1,37.93,700.0,1.95,00:10:16
67,51,31,41,19.88,-1,38.47,700.0,1.95,00:10:25
67,51,32,41,19.94,-1,38.47,700.0,1.95,00:10:33
67,52,32,42,19.88,-1,38.47,700.0,1.95,00:10:42
68,52,33,41,19.88,-1,38.47,700.0,1.95,00:10:51
68,53,34,41,19.88,0,37.93,700.0,1.95,00:10:59
67,53,35,42,19.88,0,38.47,700.0,1.95,00:11:08
67,53,35,42,19.88,-1,38.47,700.0,1.95,00:11:17
67,54,36,41,19.88,-1,37.93,700.0,1.95,00:11:27
67,55,36,42,19.88,-1,38.47,700.0,1.95,00:11:36
67,55,37,42,19.88,-1,38.47,700.0,1.95,00:11:45
67,56,37,41,19.88,-1,37.93,700.0,1.95,00:11:54
67,56,37,41,19.88,0,38.47,700.0,1.95,00:12:02
67,56,38,41,19.88,0,37.93,700.0,1.95,00:12:11
67,56,38,41,19.88,0,37.93,700.0,1.95,00:12:20
67,56,38,41,19.88,0,37.93,700.0,1.95,00:12:29
67,57,39,42,19.88,0,37.93,700.0,1.95,00:12:37
67,58,40,41,19.88,0,37.93,700.0,1.95,00:12:46
67,57,39,42,19.88,0,38.47,700.0,1.95,00:12:55
67,58,39,41,19.94,0,38.47,700.0,1.95,00:13:03
67,58,39,41,19.88,0,37.93,700.0,1.95,00:13:12
67,57,38,42,19.88,0,38.47,700.0,1.95,00:13:21
67,57,38,42,19.88,0,37.93,700.0,1.95,00:13:30
67,56,37,42,19.88,0,37.93,700.0,1.95,00:13:38
67,55,37,42,19.88,0,37.93,700.0,1.95,00:13:47
67,56,36,42,19.88,-1,38.47,700.0,1.95,00:13:56
67,56,36,42,19.88,0,37.93,700.0,1.95,00:14:04
67,55,36,41,19.88,0,37.93,700.0,1.95,00:14:13
67,54,35,42,19.88,-1,37.93,700.0,1.95,00:14:22
67,54,35,42,19.88,-1,37.93,700.0,1.95,00:14:31
67,54,35,42,19.88,-1,38.47,700.0,1.95,00:14:41
67,54,35,42,19.88,-1,37.93,700.0,1.95,00:14:50
67,54,34,42,19.88,-1,38.47,700.0,1.95,00:14:58
67,49,34,42,19.88,-1,37.93,700.0,1.95,00:15:07
67,54,33,41,19.88,-1,37.93,700.0,1.95,00:15:16
68,52,33,41,19.88,-1,37.93,700.0,1.95,00:15:25
67,53,33,41,19.88,0,37.93,700.0,1.95,00:15:33
67,51,32,42,19.88,-1,37.93,700.0,1.95,00:15:42
68,52,32,42,19.88,-1,37.93,700.0,1.95,00:15:51
67,51,32,41,19.88,0,37.93,700.0,1.95,00:15:59
67,52,32,42,19.88,-1,37.93,700.0,1.95,00:16:08
67,52,31,41,19.88,-1,37.93,700.0,1.95,00:16:17
67,51,31,41,19.88,-1,37.93,700.0,1.95,00:16:26
67,51,26,41,19.88,-1,37.93,700.0,1.95,00:16:34
67,51,32,41,19.88,-1,37.93,700.0,1.95,00:16:43
67,51,30,42,19.88,-1,37.93,700.0,1.95,00:16:52
