pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,refilling,cpuTemp,cpuFreq,storageUsed,time
72,64,45,40,0,0,32.55,700.0,1.57,00:00:06
72,64,45,40,0,0,32.01,700.0,1.57,00:00:13
73,64,45,40,0,0,32.01,700.0,1.57,00:00:20
73,64,45,40,0,0,32.01,700.0,1.57,00:00:27
72,64,45,40,0,0,33.63,700.0,1.57,00:00:33
73,64,45,40,0,0,32.55,700.0,1.57,00:00:42
73,64,45,40,0,0,32.01,700.0,1.57,00:00:49
73,64,45,40,0,0,32.55,800.0,1.57,00:00:56
72,64,45,40,0,0,32.55,700.0,1.57,00:01:07
72,64,45,40,0,0,32.55,700.0,1.57,00:01:13
72,64,45,40,0,0,31.48,700.0,1.57,00:01:20
72,64,45,39,0,0,32.55,700.0,1.57,00:01:30
73,64,45,39,0,0,32.55,800.0,1.57,00:01:37
72,64,45,39,0,0,32.55,700.0,1.57,00:01:44
72,64,45,39,0,0,32.01,700.0,1.57,00:01:51
73,64,45,40,0,0,32.55,700.0,1.57,00:02:00
72,64,45,39,0,0,31.48,700.0,1.57,00:02:09
72,64,44,40,0,0,32.55,1000.0,1.57,00:02:15
72,64,45,40,0,0,32.01,700.0,1.57,00:02:24
72,64,45,39,0,0,32.55,700.0,1.57,00:02:31
72,64,45,40,0,0,31.48,700.0,1.57,00:02:38
72,64,45,40,0,0,32.01,700.0,1.57,00:02:45
73,64,45,40,0,0,32.01,700.0,1.57,00:02:52
72,64,45,40,0,0,32.01,700.0,1.57,00:02:59
72,64,45,40,0,0,32.01,700.0,1.57,00:03:05
72,64,45,40,0,0,32.01,700.0,1.57,00:03:14
72,64,45,39,0,0,32.55,800.0,1.57,00:03:21
72,64,45,40,0,0,31.48,700.0,1.57,00:03:28
72,64,45,39,0,0,32.55,700.0,1.57,00:03:37
73,64,45,40,0,0,32.01,700.0,1.57,00:03:43
72,64,45,40,0,0,32.55,700.0,1.57,00:03:52
72,64,45,40,0,0,32.55,800.0,1.57,00:03:59
72,64,45,40,0,0,31.48,700.0,1.57,00:04:08
72,64,45,40,0,0,32.55,700.0,1.57,00:04:15
72,64,45,40,0,0,31.48,700.0,1.57,00:04:22
72,64,45,40,0,0,32.01,700.0,1.57,00:04:28
72,64,45,40,0,0,31.48,700.0,1.57,00:04:35
71,64,44,40,0,0,32.01,700.0,1.57,00:04:44
71,64,45,40,0,0,31.48,800.0,1.57,00:04:51
73,64,45,40,0,0,31.48,700.0,1.57,00:05:00
73,64,45,40,0,0,32.01,700.0,1.57,00:05:07
72,64,45,40,0,0,31.48,700.0,1.57,00:05:14
72,64,45,40,0,0,31.48,700.0,1.57,00:05:21
