pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,waterState,cpuTemp,cpuFreq,storageUsed,time
72,60,42,32,20.56,0,39.01,700.0,2.05,00:00:04
72,61,42,30,20.56,0,37.93,700.0,2.05,00:00:13
71,61,43,30,20.56,0,38.47,700.0,2.05,00:00:22
72,61,42,30,20.56,0,40.08,700.0,2.05,00:00:32
72,61,42,30,20.56,0,39.01,700.0,2.05,00:00:40
72,61,42,30,20.56,0,39.01,700.0,2.05,00:00:51
72,61,42,30,20.56,0,38.47,700.0,2.05,00:01:00
72,61,43,28,20.56,0,37.93,700.0,2.05,00:01:08
72,61,43,29,20.56,0,39.01,700.0,2.05,00:01:19
72,61,43,29,20.56,0,39.01,700.0,2.05,00:01:27
72,61,43,29,20.56,0,39.01,700.0,2.05,00:01:36
72,61,43,29,20.56,0,38.47,700.0,2.05,00:01:45
71,61,42,29,20.56,0,39.01,700.0,2.05,00:01:54
72,61,42,29,20.56,0,39.01,700.0,2.05,00:02:02
72,61,43,28,20.56,0,39.55,700.0,2.05,00:02:13
72,62,43,28,20.56,0,38.47,700.0,2.05,00:02:22
72,61,43,28,20.56,0,39.01,700.0,2.05,00:02:30
72,61,43,28,20.56,0,38.47,700.0,2.05,00:02:39
72,61,43,27,20.56,0,39.01,700.0,2.05,00:02:48
72,61,43,27,20.56,0,37.93,700.0,2.05,00:02:56
71,61,43,26,20.56,0,39.01,700.0,2.05,00:03:05
72,61,43,27,20.56,0,39.01,700.0,2.05,00:03:14
71,61,42,26,20.56,0,38.47,700.0,2.05,00:03:24
72,61,42,26,20.56,0,39.01,700.0,2.05,00:03:33
72,61,43,26,20.56,0,39.01,700.0,2.05,00:03:46
72,61,43,27,20.56,0,38.47,700.0,2.05,00:03:54
72,61,43,27,20.56,0,38.47,700.0,2.05,00:04:03
71,61,42,26,20.56,0,37.93,700.0,2.05,00:04:12
71,62,42,25,20.56,0,38.47,700.0,2.05,00:04:20
72,62,43,26,20.56,0,39.01,700.0,2.05,00:04:31
72,61,43,27,20.56,0,38.47,700.0,2.05,00:04:40
72,61,43,27,20.56,0,38.47,700.0,2.05,00:04:48
71,61,43,27,20.56,0,38.47,700.0,2.05,00:04:57
72,61,42,27,20.56,0,37.93,700.0,2.05,00:05:06
72,61,42,28,20.56,0,38.47,700.0,2.05,00:05:14
