pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,waterState,cpuTemp,cpuFreq,storageUsed,time
70,54,35,28,20.25,-1,37.93,700.0,2.05,00:00:04
70,54,37,28,20.25,-1,37.93,700.0,2.05,00:00:13
70,54,36,28,20.25,-1,37.93,700.0,2.05,00:00:22
70,55,37,29,20.31,-1,39.01,700.0,2.05,00:00:31
70,55,36,29,20.25,-1,39.01,700.0,2.05,00:00:39
70,55,38,29,20.25,-1,37.93,700.0,2.05,00:00:48
70,55,36,29,20.25,-1,38.47,700.0,2.05,00:00:57
70,56,36,30,20.25,-1,39.01,700.0,2.05,00:01:07
70,56,37,30,20.31,-1,38.47,700.0,2.05,00:01:18
70,56,39,31,20.25,-1,38.47,700.0,2.05,00:01:26
70,56,38,31,20.25,-1,37.93,700.0,2.05,00:01:35
70,56,38,31,20.25,-1,39.01,700.0,2.05,00:01:44
70,56,38,31,20.25,-1,38.47,700.0,2.05,00:01:52
70,60,38,31,20.25,-1,37.93,700.0,2.05,00:02:01
70,57,39,32,20.25,-1,37.93,700.0,2.05,00:02:10
70,57,38,32,20.25,-1,37.93,700.0,2.05,00:02:19
69,57,39,32,20.25,-1,37.93,700.0,2.05,00:02:27
69,57,39,32,20.25,-1,37.93,700.0,2.05,00:02:36
69,57,39,33,20.25,-1,38.47,700.0,2.05,00:02:45
69,58,40,33,20.25,-1,37.93,700.0,2.05,00:02:54
70,58,39,32,20.25,-1,38.47,700.0,2.05,00:03:02
70,57,37,33,20.25,-1,38.47,700.0,2.05,00:03:11
70,56,37,33,20.25,-1,38.47,700.0,2.05,00:03:20
70,55,37,33,20.25,-1,39.01,700.0,2.05,00:03:30
70,55,36,33,20.25,-1,39.01,700.0,2.05,00:03:39
70,54,36,33,20.25,-1,37.93,700.0,2.05,00:03:48
70,53,34,34,20.25,-1,37.93,700.0,2.05,00:03:56
70,53,36,34,20.25,-1,37.93,700.0,2.05,00:04:05
70,53,36,34,20.25,-1,38.47,700.0,2.05,00:04:14
69,53,37,34,20.25,-1,37.93,700.0,2.05,00:04:22
70,54,35,34,20.25,-1,37.93,700.0,2.05,00:04:33
70,54,37,35,20.25,-1,38.47,700.0,2.05,00:04:42
