pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,waterState,cpuTemp,cpuFreq,storageUsed,time
66,55,37,42,20.5,-1,39.01,700.0,1.96,00:00:00
67,55,37,42,20.5,-1,39.01,700.0,1.96,00:00:08
66,56,37,42,20.5,-1,39.01,700.0,1.96,00:00:17
67,56,38,42,20.5,0,39.01,700.0,1.96,00:00:26
67,56,38,42,20.5,0,40.08,1000.0,1.96,00:00:35
66,57,38,42,20.44,0,39.01,700.0,1.96,00:00:43
66,57,39,42,20.5,0,39.01,700.0,1.96,00:00:52
67,57,39,42,20.44,0,39.01,700.0,1.96,00:01:01
66,57,39,42,20.44,0,39.01,700.0,1.96,00:01:11
67,58,39,42,20.5,0,39.01,700.0,1.96,00:01:20
67,57,40,42,20.5,0,39.01,700.0,1.96,00:01:29
67,58,39,42,20.5,0,39.01,700.0,1.96,00:01:37
67,58,38,42,20.5,0,39.01,700.0,1.96,00:01:46
67,57,38,42,20.5,0,39.01,700.0,1.96,00:01:55
67,57,38,42,20.5,0,39.55,700.0,1.96,00:02:05
66,56,37,42,20.5,0,39.01,700.0,1.96,00:02:16
66,55,37,42,20.5,0,39.01,700.0,1.96,00:02:25
67,54,36,42,20.44,-1,39.55,700.0,1.96,00:02:34
67,54,36,42,20.5,-1,38.47,700.0,1.96,00:02:42
67,54,35,42,20.5,-1,39.01,700.0,1.96,00:02:51
67,53,35,42,20.44,-1,39.01,700.0,1.96,00:03:00
67,53,34,42,20.44,-1,39.01,700.0,1.96,00:03:10
67,53,34,42,20.5,-1,39.01,700.0,1.96,00:03:19
67,53,33,42,20.5,-1,39.01,700.0,1.96,00:03:28
67,52,33,42,20.5,-1,40.08,1000.0,1.96,00:03:38
67,52,32,42,20.5,-1,39.01,700.0,1.96,00:03:49
67,52,32,42,20.5,-1,39.01,700.0,1.96,00:03:57
67,52,31,42,20.44,-1,39.01,700.0,1.96,00:04:06
67,51,31,42,20.44,-1,39.01,700.0,1.96,00:04:15
67,51,31,42,20.5,-1,38.47,700.0,1.96,00:04:23
67,50,30,42,20.5,-1,39.01,700.0,1.96,00:04:32
67,50,30,42,20.44,-1,39.01,700.0,1.96,00:04:41
67,50,30,42,20.5,-1,39.01,700.0,1.96,00:04:50
67,50,29,42,20.44,-1,38.47,700.0,1.96,00:04:58
67,50,29,42,20.5,-1,39.01,700.0,1.96,00:05:07
68,51,29,42,20.5,-1,39.01,700.0,1.96,00:05:16
