pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,refilling,cpuTemp,cpuFreq,storageUsed,time
74,66,45,41,0,0,31.48,700.0,1.56,00:00:08
73,65,44,41,0,0,31.48,700.0,1.56,00:00:21
74,66,44,41,0,0,31.48,700.0,1.56,00:00:34
73,66,44,41,0,0,32.55,700.0,1.56,00:00:45
73,66,44,40,0,0,32.55,700.0,1.56,00:00:54
73,65,44,41,0,0,31.48,700.0,1.56,00:01:02
74,66,44,41,0,0,32.01,700.0,1.56,00:01:14
74,66,44,41,0,0,32.01,700.0,1.56,00:01:26
74,66,44,41,0,0,32.01,700.0,1.56,00:01:38
74,65,44,40,0,0,31.48,700.0,1.56,00:01:47
74,66,44,41,0,0,31.48,700.0,1.56,00:01:56
74,66,44,40,0,0,31.48,700.0,1.56,00:02:06
73,66,44,40,0,0,32.01,700.0,1.56,00:02:17
74,66,44,40,0,0,31.48,1000.0,1.56,00:02:26
74,65,45,40,0,0,30.94,700.0,1.56,00:02:34
74,66,44,40,0,0,31.48,700.0,1.56,00:02:46
74,66,44,41,0,0,31.48,700.0,1.56,00:02:55
74,66,45,41,0,0,32.01,700.0,1.56,00:03:05
73,66,44,41,0,0,30.4,700.0,1.56,00:03:14
74,66,45,40,0,0,31.48,700.0,1.56,00:03:26
73,66,44,41,0,0,31.48,700.0,1.56,00:03:37
73,66,44,41,0,0,31.48,700.0,1.56,00:03:45
74,66,44,41,0,0,31.48,800.0,1.56,00:03:56
74,65,44,40,0,0,32.01,800.0,1.56,00:04:08
74,65,44,40,0,0,31.48,700.0,1.56,00:04:18
73,66,44,41,0,0,31.48,700.0,1.56,00:04:31
73,65,45,41,0,0,31.48,700.0,1.56,00:04:39
73,66,44,40,0,0,32.01,700.0,1.56,00:04:52
74,65,44,40,0,0,32.01,800.0,1.56,00:05:02
74,66,44,40,0,0,30.94,700.0,1.56,00:05:11
74,66,44,41,0,0,31.48,700.0,1.56,00:05:23
73,65,44,41,0,0,31.48,700.0,1.56,00:05:32
74,65,44,41,0,0,31.48,800.0,1.56,00:05:41
73,65,44,40,0,0,31.48,700.0,1.56,00:05:51
73,65,44,40,0,0,31.48,700.0,1.56,00:06:03
73,65,44,40,0,0,32.01,700.0,1.56,00:06:13
73,65,44,40,0,0,32.01,700.0,1.56,00:06:22
74,66,44,40,0,0,31.48,700.0,1.56,00:06:31
74,66,44,40,0,0,31.48,700.0,1.56,00:06:42
73,66,44,41,0,0,32.01,700.0,1.56,00:06:50
74,65,44,41,0,0,31.48,800.0,1.56,00:06:59
74,66,44,41,0,0,31.48,700.0,1.56,00:07:10
73,65,44,40,0,0,31.48,700.0,1.56,00:07:22
74,66,44,40,0,0,31.48,700.0,1.56,00:07:31
73,65,44,40,0,0,31.48,700.0,1.56,00:07:41
74,65,44,40,0,0,31.48,700.0,1.56,00:07:50
73,65,44,40,0,0,31.48,700.0,1.56,00:08:01
73,65,44,40,0,0,31.48,700.0,1.56,00:08:09
73,65,44,40,0,0,32.01,800.0,1.56,00:08:20
74,65,44,40,0,0,31.48,700.0,1.56,00:08:29
74,65,44,41,0,0,31.48,700.0,1.56,00:08:41
74,65,44,40,0,0,31.48,700.0,1.56,00:08:52
73,65,44,40,0,0,31.48,700.0,1.56,00:09:04
73,65,44,40,0,0,32.01,700.0,1.56,00:09:14
74,65,44,40,0,0,30.94,700.0,1.56,00:09:23
73,65,44,40,0,0,31.48,700.0,1.56,00:09:37
74,65,44,41,0,0,31.48,700.0,1.56,00:09:49
73,65,44,41,0,0,31.48,700.0,1.56,00:10:01
73,65,44,41,0,0,31.48,700.0,1.56,00:10:13
74,65,44,41,0,0,31.48,700.0,1.56,00:10:22
73,66,44,41,0,0,31.48,800.0,1.56,00:10:30
74,65,44,40,0,0,30.94,700.0,1.56,00:10:41
74,65,44,40,0,0,31.48,700.0,1.56,00:10:53
73,66,44,41,0,0,31.48,700.0,1.56,00:11:04
73,65,44,41,0,0,31.48,700.0,1.56,00:11:12
74,66,44,41,0,0,31.48,700.0,1.56,00:11:21
