pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,refilling,cpuTemp,cpuFreq,storageUsed,time
71,60,38,40,20.56,0,37.93,700.0,1.7,00:00:00
70,60,37,41,20.56,0,37.39,700.0,1.7,00:00:09
70,60,38,40,20.56,0,38.47,1000.0,1.7,00:00:18
71,60,38,41,20.56,0,37.93,700.0,1.7,00:00:26
70,60,38,41,20.56,0,37.93,700.0,1.7,00:00:35
71,60,29,41,20.56,0,37.39,700.0,1.7,00:00:44
71,60,38,40,20.56,0,37.39,700.0,1.7,00:00:52
71,60,38,40,20.56,0,37.39,700.0,1.7,00:01:01
71,60,38,40,20.56,0,37.39,700.0,1.7,00:01:11
71,60,38,40,20.56,0,37.39,700.0,1.7,00:01:19
71,60,38,40,20.56,0,37.93,700.0,1.7,00:01:30
70,60,38,41,20.56,0,37.39,700.0,1.7,00:01:38
70,60,37,41,20.56,0,37.39,700.0,1.7,00:01:47
71,60,38,40,20.56,0,36.86,700.0,1.7,00:01:56
71,60,37,41,20.56,0,37.39,700.0,1.7,00:02:04
70,60,38,41,20.56,0,36.86,700.0,1.7,00:02:13
71,61,38,40,20.56,0,36.86,700.0,1.7,00:02:22
70,60,38,41,20.56,0,36.86,700.0,1.7,00:02:30
71,61,38,41,20.56,0,36.86,700.0,1.7,00:02:39
71,60,38,40,20.56,0,36.86,700.0,1.7,00:02:48
71,60,37,40,20.56,0,36.86,700.0,1.7,00:02:56
71,60,38,40,20.56,0,36.86,700.0,1.7,00:03:05
70,60,38,40,20.56,0,36.86,700.0,1.7,00:03:14
71,61,38,40,20.56,0,36.86,700.0,1.7,00:03:22
71,60,38,40,20.56,0,36.32,700.0,1.7,00:03:31
70,60,38,40,20.56,0,36.86,700.0,1.7,00:03:40
71,60,38,41,20.56,0,36.86,700.0,1.7,00:03:48
70,60,38,40,20.56,0,36.86,700.0,1.7,00:03:57
71,60,38,40,20.56,0,36.86,700.0,1.7,00:04:06
70,60,38,41,20.56,0,36.86,700.0,1.7,00:04:14
70,60,38,41,20.56,0,36.32,700.0,1.7,00:04:23
71,61,38,41,20.56,0,36.86,700.0,1.7,00:04:33
71,60,38,41,20.56,0,36.86,700.0,1.7,00:04:42
71,60,38,41,20.56,0,36.86,700.0,1.7,00:04:50
71,60,38,40,20.56,0,36.86,700.0,1.7,00:04:59
71,60,38,40,20.56,0,37.93,700.0,1.7,00:05:10
71,61,38,40,20.56,0,36.86,700.0,1.7,00:05:20
71,60,38,41,20.56,0,36.86,700.0,1.7,00:05:29
71,60,38,40,20.56,0,36.86,700.0,1.7,00:05:37
71,60,38,40,20.56,0,37.39,700.0,1.7,00:05:48
70,61,38,41,20.56,0,36.86,700.0,1.7,00:05:56
70,61,37,40,20.56,0,36.86,700.0,1.7,00:06:05
71,61,38,40,20.56,0,37.39,700.0,1.7,00:06:14
71,60,38,41,20.56,0,36.86,700.0,1.7,00:06:22
71,60,38,40,20.56,0,37.93,700.0,1.7,00:06:33
71,60,38,40,20.56,0,36.86,700.0,1.7,00:06:42
71,60,38,41,20.56,0,37.39,700.0,1.7,00:06:50
71,61,38,40,20.56,0,36.86,700.0,1.7,00:06:59
71,60,38,41,20.56,0,36.86,700.0,1.7,00:07:07
71,60,38,40,20.56,0,37.93,700.0,1.7,00:07:16
71,61,38,41,20.56,0,37.39,700.0,1.7,00:07:25
71,61,38,40,20.56,0,37.39,700.0,1.7,00:07:33
71,60,38,40,20.56,0,37.93,700.0,1.7,00:07:42
71,60,38,40,20.56,0,36.86,700.0,1.7,00:07:51
71,60,38,41,20.56,0,37.39,700.0,1.7,00:07:59
70,60,38,40,20.56,0,37.39,700.0,1.7,00:08:10
71,60,38,40,20.56,0,37.93,700.0,1.7,00:08:18
71,60,38,40,20.56,0,37.39,700.0,1.7,00:08:27
71,61,38,41,20.56,0,37.39,700.0,1.7,00:08:36
71,61,38,40,20.56,0,37.93,700.0,1.7,00:08:44
70,60,38,40,20.56,0,36.86,700.0,1.7,00:08:53
71,60,38,40,20.56,0,36.86,700.0,1.7,00:09:01
70,61,38,40,20.56,0,36.86,700.0,1.7,00:09:10
71,60,38,40,20.56,0,36.86,700.0,1.7,00:09:19
71,60,38,40,20.56,0,36.86,700.0,1.7,00:09:27
70,60,38,41,20.56,0,37.39,700.0,1.7,00:09:36
70,60,38,41,20.56,0,36.86,700.0,1.7,00:09:45
71,60,37,40,20.56,0,36.86,700.0,1.7,00:09:53
71,61,38,40,20.56,0,37.39,700.0,1.7,00:10:02
71,60,38,40,20.56,0,36.86,700.0,1.7,00:10:11
71,61,38,40,20.56,0,36.86,700.0,1.7,00:10:19
71,61,38,40,20.56,0,37.93,700.0,1.7,00:10:28
71,60,38,41,20.56,0,38.47,700.0,1.7,00:10:39
71,60,38,40,20.56,0,37.93,700.0,1.7,00:10:47
71,60,38,40,20.56,0,37.93,700.0,1.7,00:10:56
71,61,38,40,20.56,0,37.39,700.0,1.7,00:11:04
71,60,38,41,20.56,0,36.86,700.0,1.7,00:11:13
70,61,38,40,20.56,0,36.86,700.0,1.7,00:11:22
70,60,38,40,20.56,0,36.86,700.0,1.7,00:11:30
71,61,38,40,20.56,0,36.86,700.0,1.7,00:11:39
71,61,38,40,20.56,0,36.86,700.0,1.7,00:11:48
71,60,38,41,20.56,0,37.93,700.0,1.7,00:11:56
71,61,38,40,20.56,0,36.86,700.0,1.7,00:12:05
71,61,38,40,20.56,0,36.86,700.0,1.7,00:12:14
70,61,38,40,20.56,0,37.93,700.0,1.7,00:12:24
71,60,38,40,20.56,0,37.93,700.0,1.7,00:12:35
71,61,38,40,20.56,0,37.39,700.0,1.7,00:12:43
71,61,38,40,20.56,0,37.93,700.0,1.7,00:12:52
71,61,38,40,20.56,0,37.93,700.0,1.7,00:13:04
71,60,38,40,20.56,0,37.93,700.0,1.7,00:13:13
70,60,38,40,20.56,0,37.93,700.0,1.7,00:13:22
70,60,38,40,20.56,0,36.86,700.0,1.7,00:13:30
70,60,38,40,20.56,0,37.39,700.0,1.7,00:13:39
71,60,38,40,20.56,0,37.39,700.0,1.7,00:13:48
71,60,37,40,20.56,0,37.39,700.0,1.7,00:13:56
71,60,38,40,20.56,0,37.39,700.0,1.7,00:14:05
70,60,38,40,20.56,0,36.86,700.0,1.7,00:14:14
71,60,38,41,20.56,0,37.93,700.0,1.7,00:14:22
71,60,38,40,20.56,0,37.39,700.0,1.7,00:14:31
71,61,38,40,20.56,0,36.86,700.0,1.7,00:14:39
70,61,38,40,20.56,0,37.93,700.0,1.7,00:14:48
70,60,38,40,20.56,0,37.93,700.0,1.7,00:14:58
71,60,38,40,20.56,0,37.93,700.0,1.7,00:15:07
71,61,38,40,20.56,0,36.86,700.0,1.7,00:15:16
71,60,38,40,20.56,0,37.39,700.0,1.7,00:15:24
71,60,38,40,20.56,0,37.39,700.0,1.7,00:15:33
71,61,38,40,20.56,0,37.93,700.0,1.7,00:15:42
70,61,38,40,20.56,0,37.39,700.0,1.7,00:15:50
71,61,38,40,20.5,0,37.93,700.0,1.7,00:15:59
70,60,38,40,20.56,0,37.39,700.0,1.7,00:16:08
70,61,38,40,20.56,0,37.39,700.0,1.7,00:16:16
70,60,38,40,20.56,0,37.39,700.0,1.7,00:16:25
71,60,38,40,20.56,0,37.93,700.0,1.7,00:16:33
71,61,38,40,20.56,0,37.93,700.0,1.7,00:16:44
71,60,38,40,20.5,0,37.93,700.0,1.7,00:16:52
71,60,38,40,20.5,0,38.47,1000.0,1.7,00:17:01
71,60,38,40,20.56,0,37.93,700.0,1.7,00:17:11
71,60,38,40,20.56,0,37.39,700.0,1.7,00:17:20
71,61,38,40,20.5,0,37.93,700.0,1.7,00:17:29
71,61,38,40,20.5,0,37.93,700.0,1.7,00:17:37
70,60,38,40,20.56,0,37.93,700.0,1.7,00:17:46
71,60,38,40,20.56,0,37.93,700.0,1.7,00:17:55
70,60,38,40,20.5,0,37.93,700.0,1.7,00:18:05
70,60,38,40,20.5,0,37.39,700.0,1.7,00:18:14
70,61,38,40,20.5,0,37.93,700.0,1.7,00:18:22
70,60,38,40,20.5,0,37.93,700.0,1.7,00:18:33
70,60,37,40,20.56,0,37.93,700.0,1.7,00:18:41
70,60,38,40,20.5,0,37.93,700.0,1.7,00:18:52
70,60,37,40,20.5,0,37.93,700.0,1.7,00:19:02
71,60,38,40,20.56,0,37.93,700.0,1.7,00:19:12
71,60,37,40,20.5,0,38.47,700.0,1.7,00:19:23
71,60,38,40,20.56,0,37.93,700.0,1.7,00:19:31
71,60,37,40,20.5,0,37.93,700.0,1.7,00:19:40
70,60,37,40,20.5,0,37.93,700.0,1.7,00:19:50
70,60,37,40,20.56,0,37.93,700.0,1.7,00:19:59
71,60,37,40,20.56,0,37.93,700.0,1.7,00:20:08
71,60,37,40,20.56,0,37.93,700.0,1.7,00:20:16
71,60,37,40,20.56,0,37.93,700.0,1.7,00:20:25
71,60,38,40,20.5,0,37.39,700.0,1.7,00:20:34
71,60,37,40,20.56,0,37.93,700.0,1.7,00:20:52
70,60,37,40,20.5,0,37.39,700.0,1.7,00:21:01
