pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,waterState,cpuTemp,cpuFreq,storageUsed,time
68,51,28,41,19.62,0,35.78,700.0,1.94,00:00:00
68,51,28,41,19.62,0,35.78,700.0,1.94,00:00:11
68,51,29,41,19.62,0,35.78,700.0,1.94,00:00:19
67,51,28,41,19.69,0,36.32,700.0,1.94,00:00:28
67,51,28,41,19.69,-1,36.86,700.0,1.94,00:00:37
68,51,28,41,19.69,-1,36.32,700.0,1.94,00:00:46
67,51,29,41,19.62,0,36.32,700.0,1.94,00:00:54
68,51,28,41,19.62,-1,36.32,700.0,1.94,00:01:03
68,51,28,41,19.69,0,36.32,700.0,1.94,00:01:12
67,50,28,41,19.69,0,36.32,700.0,1.94,00:01:20
67,51,28,41,19.62,-1,36.32,700.0,1.94,00:01:29
67,51,27,41,19.62,-1,35.78,700.0,1.94,00:01:38
67,51,28,41,19.69,-1,35.78,700.0,1.94,00:01:47
68,51,28,41,19.62,-1,35.78,700.0,1.94,00:01:55
68,51,28,41,19.62,0,36.32,1000.0,1.94,00:02:04
67,51,27,41,19.62,0,36.32,700.0,1.94,00:02:13
67,51,27,41,19.62,-1,35.78,700.0,1.94,00:02:21
67,51,27,41,19.69,-1,35.78,700.0,1.94,00:02:30
67,51,27,41,19.62,-1,35.78,700.0,1.94,00:02:39
67,51,28,41,19.62,-1,35.78,700.0,1.94,00:02:48
67,51,27,41,19.62,-1,35.78,700.0,1.94,00:02:56
67,51,27,41,19.62,-1,35.78,700.0,1.94,00:03:05
67,51,27,41,19.62,-1,35.78,700.0,1.94,00:03:14
68,51,27,41,19.62,-1,35.78,700.0,1.94,00:03:23
67,51,27,41,19.69,0,35.78,700.0,1.94,00:03:31
68,51,26,42,19.69,-1,35.78,700.0,1.94,00:03:42
67,51,26,41,19.69,0,35.78,700.0,1.94,00:03:50
67,51,26,41,19.62,-1,35.78,700.0,1.94,00:03:59
67,51,26,42,19.62,-1,35.78,700.0,1.94,00:04:08
67,51,26,41,19.62,-1,35.78,700.0,1.94,00:04:16
67,50,26,41,19.69,-1,35.78,700.0,1.94,00:04:25
67,51,26,41,19.62,-1,36.32,700.0,1.94,00:04:34
67,51,26,41,19.62,-1,35.78,700.0,1.94,00:04:43
67,51,26,41,19.62,-1,36.32,700.0,1.94,00:04:51
67,51,25,41,19.69,-1,35.78,700.0,1.94,00:05:00
67,51,27,41,19.62,-1,35.78,700.0,1.94,00:05:09
67,51,27,41,19.62,-1,35.78,700.0,1.94,00:05:17
67,51,29,41,19.62,-1,35.78,700.0,1.94,00:05:26
67,51,30,41,19.62,-1,35.78,700.0,1.94,00:05:35
67,50,31,41,19.62,-1,35.78,700.0,1.94,00:05:44
68,51,31,41,19.62,-1,35.24,700.0,1.94,00:05:52
67,52,33,41,19.62,0,35.78,700.0,1.94,00:06:03
66,53,34,41,19.62,-1,35.78,700.0,1.94,00:06:11
66,53,35,42,19.62,-1,35.78,700.0,1.94,00:06:20
67,53,35,41,19.62,-1,35.78,700.0,1.94,00:06:29
67,54,36,42,19.62,-1,35.78,700.0,1.94,00:06:37
67,55,36,41,19.62,-1,35.78,700.0,1.94,00:06:46
67,55,37,41,19.62,-1,35.78,700.0,1.94,00:06:55
67,56,38,41,19.62,-1,35.78,700.0,1.94,00:07:04
67,56,37,41,19.62,0,35.78,700.0,1.94,00:07:12
67,57,38,42,19.62,0,35.78,700.0,1.94,00:07:21
67,57,38,41,19.62,0,35.78,700.0,1.94,00:07:30
67,58,39,41,19.62,0,35.78,700.0,1.94,00:07:40
67,58,39,41,19.62,0,35.78,700.0,1.94,00:07:49
67,58,40,41,19.62,0,35.78,700.0,1.94,00:07:58
67,59,40,41,19.62,0,35.78,700.0,1.94,00:08:07
67,58,39,41,19.62,0,35.78,700.0,1.94,00:08:15
66,58,39,41,19.62,0,35.78,700.0,1.94,00:08:24
67,58,39,42,19.62,0,35.78,700.0,1.94,00:08:33
67,57,39,41,19.62,0,35.78,700.0,1.94,00:08:41
67,56,38,41,19.62,0,35.78,700.0,1.94,00:08:50
66,57,37,41,19.62,0,35.78,700.0,1.94,00:08:59
67,57,37,41,19.62,0,35.78,700.0,1.94,00:09:08
67,55,38,41,19.62,0,35.78,700.0,1.94,00:09:16
67,56,37,40,19.62,-1,35.78,700.0,1.94,00:09:25
67,55,37,41,19.69,0,36.32,700.0,1.94,00:09:34
67,56,37,41,19.62,-1,35.78,700.0,1.94,00:09:42
67,55,36,41,19.62,0,36.32,700.0,1.94,00:09:53
67,55,36,41,19.62,-1,35.78,700.0,1.94,00:10:01
67,54,36,41,19.62,-1,35.24,700.0,1.94,00:10:10
67,55,36,41,19.62,-1,35.78,700.0,1.94,00:10:19
67,54,35,41,19.62,-1,35.78,700.0,1.94,00:10:28
67,54,35,41,19.62,-1,35.24,700.0,1.94,00:10:36
67,53,35,41,19.62,-1,35.78,700.0,1.94,00:10:45
67,54,35,42,19.62,-1,35.78,700.0,1.94,00:10:54
67,54,35,41,19.62,-1,35.24,700.0,1.94,00:11:03
67,53,34,41,19.62,-1,35.24,700.0,1.94,00:11:11
67,54,34,41,19.62,-1,35.24,700.0,1.94,00:11:20
67,52,33,41,19.62,-1,35.24,700.0,1.94,00:11:29
67,53,34,41,19.62,-1,35.78,700.0,1.94,00:11:37
67,53,33,41,19.62,-1,35.78,700.0,1.94,00:11:46
67,53,34,41,19.62,-1,35.78,700.0,1.94,00:11:55
67,53,33,41,19.62,-1,35.78,700.0,1.94,00:12:04
67,52,33,41,19.62,-1,35.78,700.0,1.94,00:12:12
67,53,33,41,19.62,-1,35.78,700.0,1.94,00:12:21
67,52,33,41,19.62,-1,35.78,700.0,1.94,00:12:30
67,52,32,41,19.62,-1,35.78,700.0,1.94,00:12:38
67,52,33,41,19.62,-1,35.78,700.0,1.94,00:12:47
67,52,32,41,19.62,-1,35.78,700.0,1.94,00:12:56
67,52,32,42,19.62,-1,35.78,700.0,1.94,00:13:05
68,52,31,41,19.62,-1,35.78,700.0,1.94,00:13:13
67,51,32,41,19.62,0,35.78,700.0,1.94,00:13:22
67,51,32,41,19.62,-1,35.78,700.0,1.94,00:13:31
67,52,31,41,19.62,-1,35.78,700.0,1.94,00:13:39
67,52,31,41,19.62,-1,35.78,700.0,1.94,00:13:48
67,52,31,41,19.62,-1,35.78,700.0,1.94,00:13:57
68,51,31,41,19.62,-1,35.78,700.0,1.94,00:14:06
68,51,31,41,19.62,0,35.78,700.0,1.94,00:14:14
67,51,31,41,19.62,0,35.78,700.0,1.94,00:14:23
67,51,31,41,19.62,-1,35.78,700.0,1.94,00:14:32
67,51,31,41,19.62,-1,35.78,700.0,1.94,00:14:41
67,51,30,41,19.62,-1,35.78,700.0,1.94,00:14:49
67,51,31,41,19.62,-1,35.78,700.0,1.94,00:14:58
68,51,31,41,19.62,-1,35.78,700.0,1.94,00:15:07
67,52,30,41,19.62,0,34.7,700.0,1.94,00:15:15
67,51,30,41,19.62,-1,35.78,700.0,1.94,00:15:24
67,51,30,42,19.62,-1,35.78,700.0,1.94,00:15:33
67,51,30,41,19.62,-1,35.78,700.0,1.94,00:15:42
67,50,30,41,19.62,-1,35.78,700.0,1.94,00:15:50
67,50,30,41,19.62,-1,35.78,700.0,1.94,00:15:59
67,51,29,41,19.62,-1,35.78,700.0,1.94,00:16:10
67,51,30,41,19.62,-1,35.78,700.0,1.94,00:16:18
67,51,30,41,19.62,-1,35.78,700.0,1.94,00:16:27
67,50,30,41,19.62,-1,35.78,700.0,1.94,00:16:36
67,51,29,41,19.62,-1,35.78,700.0,1.94,00:16:44
68,50,29,41,19.62,-1,35.78,700.0,1.94,00:16:53
67,51,29,41,19.62,0,36.86,1000.0,1.94,00:17:02
67,51,29,42,19.62,-1,35.78,700.0,1.94,00:17:11
67,51,29,41,19.62,-1,35.78,700.0,1.94,00:17:21
67,51,29,41,19.62,-1,35.78,700.0,1.94,00:17:30
68,51,29,41,19.62,-1,36.32,700.0,1.94,00:17:39
67,50,29,41,19.62,0,35.78,700.0,1.94,00:17:47
67,51,29,41,19.62,-1,35.78,700.0,1.94,00:17:56
67,51,29,41,19.62,-1,35.78,700.0,1.94,00:18:05
67,51,29,41,19.62,-1,35.78,700.0,1.94,00:18:14
68,51,29,41,19.62,-1,35.78,700.0,1.94,00:18:22
67,51,29,41,19.62,0,35.78,700.0,1.94,00:18:31
67,51,28,41,19.62,-1,35.78,700.0,1.94,00:18:40
68,51,28,41,19.62,-1,35.78,700.0,1.94,00:18:48
67,51,28,41,19.62,0,35.78,700.0,1.94,00:18:57
67,51,28,41,19.62,-1,35.78,700.0,1.94,00:19:06
67,51,28,41,19.62,-1,35.78,700.0,1.94,00:19:15
67,51,28,41,19.62,-1,35.78,700.0,1.94,00:19:23
67,50,28,41,19.62,-1,35.78,700.0,1.94,00:19:32
67,51,28,41,19.62,-1,35.78,700.0,1.94,00:19:41
67,51,28,41,19.62,-1,35.78,700.0,1.94,00:19:49
67,51,28,41,19.62,-1,35.78,700.0,1.94,00:19:58
67,50,27,42,19.62,-1,35.78,700.0,1.94,00:20:07
68,51,27,41,19.62,-1,35.78,700.0,1.94,00:20:16
68,51,27,41,19.62,0,35.24,700.0,1.94,00:20:24
67,51,28,41,19.62,0,35.78,700.0,1.94,00:20:33
68,51,27,41,19.62,-1,35.24,700.0,1.94,00:20:42
67,51,27,41,19.62,0,35.24,700.0,1.94,00:20:51
67,51,27,41,19.62,-1,35.78,700.0,1.94,00:20:59
68,51,27,41,19.62,-1,35.78,700.0,1.94,00:21:08
68,51,27,41,19.62,0,35.78,700.0,1.94,00:21:17
67,51,27,41,19.62,0,35.78,700.0,1.94,00:21:27
68,51,27,41,19.62,-1,36.32,1000.0,1.94,00:21:36
67,51,27,41,19.62,0,36.32,700.0,1.94,00:21:44
67,51,27,41,19.62,-1,36.86,700.0,1.94,00:21:53
67,51,26,41,19.62,-1,35.78,700.0,1.94,00:22:02
67,51,27,41,19.62,-1,35.78,700.0,1.94,00:22:11
68,51,26,41,19.62,-1,37.93,1000.0,1.94,00:22:19
68,51,26,41,19.62,0,36.32,700.0,1.94,00:22:28
67,51,26,41,19.62,0,36.86,700.0,1.94,00:22:39
68,51,26,41,19.62,-1,36.86,700.0,1.94,00:22:47
68,51,26,41,19.62,0,37.39,1000.0,1.94,00:22:56
68,51,26,41,19.62,0,36.86,700.0,1.94,00:23:05
67,51,25,41,19.62,0,36.86,700.0,1.94,00:23:15
67,50,27,41,19.62,-1,36.86,700.0,1.94,00:23:24
68,51,27,41,19.62,-1,36.86,700.0,1.94,00:23:33
67,51,28,41,19.62,0,36.86,700.0,1.94,00:23:41
67,51,28,41,19.62,-1,36.86,700.0,1.94,00:23:50
67,50,31,42,19.62,-1,36.86,700.0,1.94,00:24:01
68,51,31,41,19.62,-1,36.86,700.0,1.94,00:24:09
67,51,32,41,19.62,0,36.86,700.0,1.94,00:24:18
67,52,33,41,19.62,-1,36.32,700.0,1.94,00:24:27
67,53,34,41,19.62,-1,36.32,700.0,1.94,00:24:35
67,53,35,41,19.62,-1,36.86,700.0,1.94,00:24:44
67,54,36,41,19.62,-1,35.78,700.0,1.94,00:24:55
67,55,36,41,19.62,-1,36.32,700.0,1.94,00:25:03
67,55,36,41,19.62,-1,36.86,700.0,1.94,00:25:12
67,55,37,41,19.62,-1,35.78,700.0,1.94,00:25:21
66,56,38,41,19.62,-1,36.32,700.0,1.94,00:25:29
67,56,38,41,19.62,0,36.32,700.0,1.94,00:25:38
67,57,39,41,19.62,0,36.32,700.0,1.94,00:25:47
67,57,39,41,19.62,0,35.78,700.0,1.94,00:25:56
67,57,39,41,19.62,0,35.78,700.0,1.94,00:26:04
67,58,40,41,19.62,0,35.78,700.0,1.94,00:26:13
67,59,39,41,19.62,0,35.78,700.0,1.94,00:26:22
67,58,40,41,19.62,0,35.78,700.0,1.94,00:26:31
67,58,39,41,19.62,0,35.78,700.0,1.94,00:26:39
67,57,38,41,19.62,0,35.78,700.0,1.94,00:26:48
67,57,38,41,19.62,0,36.32,700.0,1.94,00:26:57
67,57,38,41,19.62,0,35.78,700.0,1.94,00:27:05
67,57,38,41,19.62,0,35.78,700.0,1.94,00:27:14
67,57,37,41,19.62,0,35.78,700.0,1.94,00:27:23
67,56,37,41,19.62,0,35.78,700.0,1.94,00:27:32
67,56,37,41,19.62,0,36.32,700.0,1.94,00:27:42
67,56,36,41,19.62,0,36.32,700.0,1.94,00:27:51
67,55,36,41,19.62,0,36.32,700.0,1.94,00:28:00
67,55,36,41,19.62,-1,35.78,700.0,1.94,00:28:08
67,55,36,41,19.62,-1,36.32,700.0,1.94,00:28:17
67,55,35,42,19.62,-1,35.78,700.0,1.94,00:28:27
67,55,35,41,19.62,-1,35.78,700.0,1.94,00:28:36
66,54,35,41,19.62,-1,35.78,700.0,1.94,00:28:47
67,54,35,41,19.62,-1,35.78,700.0,1.94,00:28:55
67,54,34,41,19.62,-1,35.78,700.0,1.94,00:29:04
67,54,34,41,19.62,-1,35.78,700.0,1.94,00:29:13
67,53,34,41,19.62,-1,35.78,700.0,1.94,00:29:23
67,53,34,41,19.62,-1,36.32,700.0,1.94,00:29:32
67,52,34,41,19.62,-1,35.78,700.0,1.94,00:29:41
67,52,33,41,19.62,-1,35.78,700.0,1.94,00:29:50
67,53,33,41,19.62,-1,36.86,700.0,1.94,00:30:00
67,52,33,41,19.62,-1,36.32,700.0,1.94,00:30:09
67,52,33,41,19.62,-1,35.78,700.0,1.94,00:30:18
67,52,33,41,19.62,-1,35.78,700.0,1.94,00:30:26
67,52,33,41,19.62,-1,36.32,700.0,1.94,00:30:35
67,52,32,41,19.62,-1,36.32,700.0,1.94,00:30:44
67,52,32,41,19.62,-1,35.78,700.0,1.94,00:30:52
67,52,32,41,19.62,-1,36.32,700.0,1.94,00:31:01
68,52,32,41,19.62,-1,35.78,700.0,1.94,00:31:10
67,52,32,41,19.62,0,35.78,700.0,1.94,00:31:19
67,51,32,41,19.62,-1,35.78,700.0,1.94,00:31:27
67,51,31,41,19.62,-1,35.78,700.0,1.94,00:31:36
67,52,31,41,19.62,-1,35.78,700.0,1.94,00:31:45
67,52,32,41,19.62,-1,35.78,700.0,1.94,00:31:53
67,52,31,42,19.62,-1,36.32,700.0,1.94,00:32:02
68,51,31,41,19.62,-1,35.78,700.0,1.94,00:32:11
68,51,31,41,19.62,0,35.78,700.0,1.94,00:32:20
67,51,31,41,19.62,0,35.78,700.0,1.95,00:32:28
68,51,31,41,19.62,-1,35.78,700.0,1.95,00:32:37
67,51,31,41,19.62,0,35.78,700.0,1.95,00:32:46
67,51,31,41,19.62,-1,36.32,700.0,1.95,00:32:55
68,51,31,41,19.62,-1,36.32,700.0,1.95,00:33:05
67,52,30,41,19.62,0,35.78,700.0,1.95,00:33:14
68,51,30,41,19.62,-1,35.78,700.0,1.95,00:33:22
67,50,30,41,19.62,0,35.78,700.0,1.95,00:33:31
