pondLevel,nexusInnerLevel,nexusOuterLevel,tubLevel,waterTemp,waterState,cpuTemp,cpuFreq,storageUsed,time
71,53,32,37,18.94,-1,34.7,700.0,2.03,00:00:03
70,53,33,38,18.94,0,34.7,700.0,2.03,00:00:12
70,53,32,38,18.94,-1,34.7,700.0,2.03,00:00:21
71,53,32,38,18.94,-1,35.24,700.0,2.03,00:00:33
70,52,33,39,18.94,0,35.78,700.0,2.03,00:00:42
70,53,33,39,18.94,-1,34.7,700.0,2.03,00:00:50
70,53,32,40,18.94,-1,35.24,700.0,2.03,00:00:59
70,53,32,39,18.94,-1,34.7,700.0,2.03,00:01:08
70,53,32,39,18.94,-1,35.24,700.0,2.03,00:01:17
70,52,32,39,18.94,-1,34.7,700.0,2.03,00:01:25
70,53,32,39,18.94,-1,34.7,700.0,2.03,00:01:34
70,53,32,39,18.94,-1,34.7,700.0,2.03,00:01:43
70,52,32,38,18.94,-1,35.24,700.0,2.03,00:01:51
70,52,32,39,18.94,-1,34.7,700.0,2.03,00:02:00
70,53,32,38,18.94,-1,35.78,700.0,2.03,00:02:11
70,53,32,38,18.94,-1,34.7,700.0,2.03,00:02:19
70,53,32,37,18.94,-1,34.7,700.0,2.03,00:02:28
70,53,32,38,18.94,-1,34.7,700.0,2.03,00:02:37
71,53,32,38,18.94,-1,35.24,800.0,2.03,00:02:46
70,53,32,38,18.94,0,34.7,700.0,2.03,00:02:54
70,53,32,38,18.94,-1,34.7,700.0,2.03,00:03:03
70,53,32,38,18.94,-1,34.7,700.0,2.03,00:03:12
71,53,31,38,18.94,-1,34.7,700.0,2.03,00:03:21
71,53,31,37,18.94,0,34.7,700.0,2.03,00:03:29
71,53,31,38,18.94,0,34.7,700.0,2.03,00:03:38
70,53,31,38,18.94,0,34.7,700.0,2.03,00:03:47
70,53,31,38,18.94,-1,34.7,700.0,2.03,00:03:55
71,53,31,37,18.94,-1,34.7,700.0,2.03,00:04:06
70,53,31,37,18.94,0,34.7,700.0,2.03,00:04:15
70,53,31,37,18.94,-1,35.24,700.0,2.03,00:04:23
70,53,31,38,18.94,-1,34.7,700.0,2.03,00:04:32
70,53,31,37,18.94,-1,34.7,700.0,2.03,00:04:41
70,53,31,37,18.94,-1,34.7,700.0,2.03,00:04:50
70,53,31,37,18.94,-1,34.7,700.0,2.03,00:04:58
70,53,31,37,18.94,-1,34.7,700.0,2.03,00:05:07
70,53,31,37,18.94,-1,34.7,700.0,2.03,00:05:16
70,53,32,37,18.94,-1,34.7,700.0,2.03,00:05:25
70,53,32,37,18.94,-1,34.7,700.0,2.03,00:05:33
70,53,32,37,18.94,-1,34.7,700.0,2.03,00:05:42
71,53,32,37,18.94,-1,34.7,700.0,2.03,00:05:51
70,53,32,36,18.94,0,35.24,700.0,2.03,00:05:59
71,53,32,36,18.94,-1,34.7,700.0,2.03,00:06:08
70,53,32,36,18.94,0,35.78,700.0,2.03,00:06:19
70,53,32,36,18.94,-1,34.7,700.0,2.03,00:06:29
71,53,32,36,18.94,-1,35.24,700.0,2.03,00:06:38
71,53,31,36,18.94,0,34.7,700.0,2.03,00:06:46
71,53,32,36,18.94,0,34.7,700.0,2.03,00:06:55
71,53,32,36,18.94,0,34.7,700.0,2.03,00:07:04
71,53,32,36,18.94,0,34.7,700.0,2.03,00:07:12
71,53,32,36,18.94,0,34.7,700.0,2.03,00:07:21
71,53,32,34,18.94,0,34.7,700.0,2.03,00:07:30
71,53,32,36,18.94,0,34.7,700.0,2.03,00:07:39
70,53,32,36,18.94,0,34.7,700.0,2.03,00:07:47
70,53,32,35,18.94,-1,35.24,700.0,2.03,00:07:56
71,53,32,35,18.94,-1,34.7,700.0,2.03,00:08:05
71,53,32,35,18.94,0,34.7,700.0,2.03,00:08:13
71,53,32,35,18.94,0,34.7,700.0,2.03,00:08:22
71,53,32,36,18.94,0,34.7,700.0,2.03,00:08:31
71,53,32,35,18.94,0,35.24,700.0,2.03,00:08:40
71,53,32,35,18.94,0,34.7,700.0,2.03,00:08:48
70,53,32,35,18.94,0,34.7,700.0,2.03,00:08:57
71,53,32,35,18.94,-1,34.7,700.0,2.03,00:09:06
71,53,31,35,18.88,0,34.7,700.0,2.03,00:09:15
71,53,32,35,18.94,0,34.7,700.0,2.03,00:09:23
71,53,32,34,18.94,0,34.7,700.0,2.03,00:09:32
71,53,31,35,18.94,0,34.7,700.0,2.03,00:09:41
70,53,31,35,18.94,0,35.24,700.0,2.03,00:09:49
71,53,32,35,18.88,-1,34.7,700.0,2.03,00:09:58
70,53,31,35,18.94,0,34.7,700.0,2.03,00:10:07
71,53,31,34,18.88,-1,35.24,700.0,2.03,00:10:16
71,53,31,34,18.94,0,34.7,700.0,2.03,00:10:24
70,53,31,35,18.94,0,34.7,700.0,2.03,00:10:35
70,53,31,35,18.94,-1,34.7,700.0,2.03,00:10:45
70,53,31,34,18.94,-1,34.7,700.0,2.03,00:10:54
71,53,32,34,18.94,-1,34.7,700.0,2.03,00:11:03
70,53,32,34,18.94,0,35.24,700.0,2.03,00:11:12
70,53,31,34,18.88,-1,35.24,700.0,2.03,00:11:20
70,53,32,34,18.88,-1,34.7,700.0,2.03,00:11:29
71,53,31,35,18.88,-1,35.78,700.0,2.03,00:11:38
70,53,32,37,18.88,0,34.7,700.0,2.03,00:11:46
70,53,32,34,18.94,-1,34.7,700.0,2.03,00:11:55
70,53,32,34,18.94,-1,34.7,700.0,2.03,00:12:04
70,53,32,33,18.94,-1,34.7,700.0,2.03,00:12:13
71,53,31,34,18.94,-1,34.7,700.0,2.03,00:12:21
70,53,32,34,18.94,0,34.7,700.0,2.03,00:12:30
70,53,31,34,18.88,-1,34.7,700.0,2.03,00:12:40
70,53,32,34,18.94,-1,35.24,700.0,2.03,00:12:49
70,53,32,34,18.88,-1,35.24,700.0,2.03,00:12:58
70,53,31,33,18.94,-1,35.78,700.0,2.03,00:13:08
70,53,31,33,18.88,-1,34.7,700.0,2.03,00:13:17
70,53,30,33,18.88,-1,35.24,700.0,2.03,00:13:26
70,53,31,33,18.88,-1,34.7,700.0,2.03,00:13:34
71,53,30,34,18.88,-1,35.24,700.0,2.03,00:13:45
71,53,27,34,18.88,0,34.7,700.0,2.03,00:13:54
71,53,26,34,18.88,0,34.7,700.0,2.03,00:14:02
71,53,28,33,18.88,0,34.7,700.0,2.03,00:14:11
70,53,28,33,18.88,0,34.7,700.0,2.03,00:14:20
70,53,28,33,18.88,-1,34.7,700.0,2.03,00:14:29
71,53,28,33,18.88,-1,35.24,700.0,2.03,00:14:39
70,53,29,33,18.88,0,34.7,700.0,2.03,00:14:48
70,53,27,33,18.88,-1,34.7,700.0,2.03,00:14:57
71,53,14,33,18.88,-1,34.7,700.0,2.03,00:15:05
71,53,32,33,18.88,0,34.7,700.0,2.03,00:15:16
70,54,34,33,18.88,0,34.7,700.0,2.03,00:15:25
70,54,35,32,18.88,-1,34.7,700.0,2.03,00:15:33
71,54,35,32,18.88,-1,35.24,700.0,2.03,00:15:42
71,55,35,32,18.88,0,35.24,700.0,2.03,00:15:53
71,55,35,32,18.88,0,35.78,700.0,2.03,00:16:03
71,57,38,32,18.88,0,35.78,700.0,2.03,00:16:15
70,57,39,32,18.88,0,35.24,700.0,2.03,00:16:26
70,57,40,32,18.88,-1,34.7,700.0,2.03,00:16:34
70,57,40,31,18.88,-1,35.24,700.0,2.03,00:16:43
70,58,39,32,18.88,-1,34.7,700.0,2.03,00:16:52
71,59,39,32,18.88,-1,34.7,700.0,2.03,00:17:00
70,59,39,33,18.88,0,34.7,700.0,2.03,00:17:09
70,58,39,32,18.88,-1,34.7,700.0,2.03,00:17:18
70,58,39,31,18.88,-1,35.24,700.0,2.03,00:17:27
71,58,38,32,18.88,-1,34.7,700.0,2.03,00:17:35
71,57,38,31,18.88,0,34.7,700.0,2.03,00:17:46
71,57,38,32,18.88,0,34.7,700.0,2.03,00:17:55
71,57,38,32,18.88,0,35.24,700.0,2.03,00:18:03
71,57,37,31,18.88,0,35.24,700.0,2.03,00:18:16
71,56,38,31,18.88,0,35.78,700.0,2.03,00:18:24
71,56,37,31,18.88,0,35.78,700.0,2.03,00:18:35
71,57,37,31,18.88,0,35.24,700.0,2.03,00:18:44
70,56,37,31,18.88,0,34.7,700.0,2.03,00:18:52
70,57,36,31,18.88,-1,35.24,700.0,2.03,00:19:01
70,56,37,31,18.88,-1,35.24,700.0,2.03,00:19:10
71,56,37,31,18.88,-1,34.17,700.0,2.03,00:19:18
70,56,36,31,18.88,0,34.7,700.0,2.03,00:19:27
70,56,36,31,18.88,-1,35.24,700.0,2.03,00:19:36
71,56,37,31,18.88,-1,35.24,700.0,2.03,00:19:45
70,56,36,31,18.88,0,34.17,700.0,2.03,00:19:53
70,55,36,30,18.88,-1,34.7,700.0,2.03,00:20:02
70,55,36,31,18.88,-1,34.7,700.0,2.03,00:20:11
71,55,36,31,18.88,-1,34.7,700.0,2.03,00:20:19
70,56,36,31,18.88,0,35.24,700.0,2.03,00:20:28
70,55,36,31,18.88,-1,34.7,700.0,2.03,00:20:37
70,54,35,31,18.88,-1,35.24,700.0,2.03,00:20:46
70,55,35,30,18.88,-1,34.7,700.0,2.03,00:20:54
70,54,35,31,18.88,-1,34.17,700.0,2.03,00:21:03
70,55,35,31,18.88,-1,34.7,700.0,2.03,00:21:12
70,55,35,30,18.88,-1,34.7,700.0,2.03,00:21:21
70,55,35,30,18.88,-1,34.7,700.0,2.03,00:21:29
70,55,35,31,18.88,-1,34.7,700.0,2.03,00:21:40
70,54,35,30,18.88,-1,34.7,700.0,2.03,00:21:49
70,54,35,30,18.88,-1,34.7,700.0,2.03,00:21:59
70,54,35,30,18.88,-1,34.7,700.0,2.03,00:22:08
70,55,35,30,18.88,-1,35.24,700.0,2.03,00:22:17
70,55,35,31,18.88,-1,34.7,700.0,2.03,00:22:25
70,54,35,30,18.88,-1,35.24,700.0,2.03,00:22:34
70,54,34,30,18.88,-1,35.24,700.0,2.03,00:22:43
70,54,34,30,18.88,-1,34.7,700.0,2.03,00:22:51
70,54,34,29,18.88,-1,34.7,700.0,2.03,00:23:00
70,54,35,30,18.88,-1,34.7,700.0,2.03,00:23:09
70,54,35,29,18.88,-1,35.24,700.0,2.03,00:23:19
70,54,35,30,18.88,-1,34.7,700.0,2.03,00:23:30
70,54,34,29,18.88,-1,35.24,700.0,2.03,00:23:39
70,54,34,30,18.88,-1,34.7,700.0,2.03,00:23:47
70,54,34,30,18.88,-1,35.78,700.0,2.03,00:23:56
70,54,33,29,18.88,-1,34.7,700.0,2.03,00:24:05
70,54,34,29,18.88,-1,34.7,700.0,2.03,00:24:13
70,54,34,29,18.88,-1,34.7,700.0,2.03,00:24:22
70,54,34,29,18.88,-1,34.7,700.0,2.03,00:24:31
70,54,34,29,18.88,-1,34.7,700.0,2.03,00:24:40
70,53,34,29,18.88,-1,34.7,700.0,2.03,00:24:48
70,54,34,29,18.88,-1,35.24,700.0,2.03,00:24:57
70,54,34,29,18.88,-1,34.7,700.0,2.03,00:25:06
70,54,34,28,18.88,-1,34.7,700.0,2.03,00:25:15
70,54,35,29,18.88,-1,34.7,700.0,2.03,00:25:23
70,53,33,29,18.88,-1,34.7,700.0,2.03,00:25:32
70,54,34,29,18.88,-1,34.7,700.0,2.03,00:25:41
70,54,34,28,18.88,-1,35.24,700.0,2.03,00:25:51
70,53,33,29,18.88,-1,35.24,700.0,2.03,00:26:00
70,54,33,28,18.88,-1,35.24,700.0,2.03,00:26:09
71,54,33,29,18.88,-1,34.7,700.0,2.03,00:26:17
70,54,33,28,18.88,0,35.24,700.0,2.03,00:26:28
70,53,33,28,18.88,-1,34.7,700.0,2.03,00:26:37
70,54,33,28,18.88,-1,34.7,700.0,2.03,00:26:45
70,53,33,28,18.88,-1,34.7,700.0,2.03,00:26:54
70,54,33,28,18.88,-1,34.7,700.0,2.03,00:27:03
70,54,33,28,18.88,-1,34.7,700.0,2.03,00:27:12
70,54,33,29,18.88,-1,34.7,700.0,2.03,00:27:20
70,53,33,28,18.88,-1,35.24,700.0,2.03,00:27:31
70,53,33,28,18.88,-1,34.7,700.0,2.03,00:27:40
70,54,33,29,18.88,-1,35.78,700.0,2.03,00:27:50
70,53,33,27,18.88,-1,35.24,700.0,2.03,00:28:01
70,53,33,27,18.88,-1,34.7,700.0,2.03,00:28:09
71,54,34,27,18.88,-1,34.7,700.0,2.03,00:28:18
70,54,33,28,18.88,0,34.7,700.0,2.03,00:28:27
70,54,34,28,18.88,-1,34.7,700.0,2.03,00:28:36
71,54,34,27,18.88,-1,34.7,700.0,2.03,00:28:44
70,54,34,27,18.88,0,34.7,700.0,2.03,00:28:53
70,54,34,27,18.88,-1,34.7,700.0,2.03,00:29:02
71,54,34,28,18.88,-1,34.7,700.0,2.03,00:29:12
70,53,34,28,18.88,0,34.7,700.0,2.03,00:29:21
70,54,34,26,18.88,-1,34.7,700.0,2.03,00:29:30
70,54,34,28,18.88,-1,34.7,700.0,2.03,00:29:39
70,54,34,28,18.88,-1,34.7,700.0,2.03,00:29:47
70,53,33,27,18.88,-1,34.7,700.0,2.03,00:29:56
70,54,33,28,18.88,-1,35.24,700.0,2.03,00:30:05
70,53,33,27,18.88,-1,34.7,700.0,2.03,00:30:13
70,54,33,27,18.88,-1,34.7,700.0,2.03,00:30:22
70,54,33,27,18.88,-1,34.7,700.0,2.03,00:30:31
